10901854,zone,id_obj1,id_obj2,label_obj1,label_obj2,object_pair_labels,pos_x_obj1,pos_y_obj1,pos_x_obj2,pos_y_obj2,vel_x_obj1,vel_y_obj1,vel_obj1,vel_x_obj2,vel_y_obj2,vel_obj2,yaw_obj1,yaw_obj2,size_x_obj1,size_y_obj1,size_x_obj2,size_y_obj2,rel_dist,rel_vel,min_safe_dist,ttc_min_dist,ttc,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,n_models,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_intersection_distance,decel_lv_time_to_intersection,decel_hv_time_to_intersection,decel_severity,decel_model,date,ts_minus_10,replay_link,label1,label2,interaction_type,hour,day_of_week,interaction_type_2,is_real_near_miss,LiDAR_artifact,description
50:13.6,1002,10731543,10732128,6,3,3_6,29.375,28.96875,30.0625,17.796875,0,-0.010002136,0.000677095,-0.23999023,10.8203125,11.00724,4.2539062,1.3447266,5.4296875,2.25,1.6650391,0.70996094,11.193008,10.8329735,2.5136719,0.43983924,1.0675749,0.03347999,0.8995677,0.96,0.10879801,0.8995675,0.4658436,0.96,1.0298921,3,,,,,,,,,,,,,FALSE,6/1/2025,50:03.6,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T13:50:03Z,3,6,motorcycle-van,16,Sunday,stationary conflict,No,No,Turning motorcycle vs Stopped van at signal - different lanes
14:25.1,1007,10751276,10750945,6,1,1_6,28.6875,-14.25,33.1875,-13.4296875,3.6992188,-3.4804688,5.610247,-0.91015625,-0.5698242,1.137336,5.5625,3.3222656,5.6445312,2.2402344,0.45996094,0.54003906,4.574157,5.4514394,2.2211914,,,,,,,,,,,0,5.610247,4.9839025,0.6263447,6.263447,6.263447,0.2,2,0.62082857,0,3.5439305,0.344524,critical,TRUE,6/1/2025,14:15.1,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T14:14:15Z,1,6,pedestrian-van,17,Sunday,crossing,No,No,Both pedestrian and van safely cross eachother
48:42.9,1002,10782180,10782232,4,3,3_4,29.96875,19.65625,31.765625,29.46875,0.77978516,6.1015625,6.0205927,-1.7597656,-4.0195312,4.805955,1.2607422,4.6054688,4.6171875,2.0195312,0.8300781,0.7001953,9.975666,10.434838,2.041748,0.645247,0.91392875,0.055157647,0.6482787,0.96,0.3670155,0.6482792,0.34618673,0.96,0.737225,3,,,,,,,,,,,,,FALSE,6/1/2025,48:32.9,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T14:48:32Z,3,4,motorcycle-car,17,Sunday,head-on,No,No,Turning car vs Stopping motorcycle at signal - different lanes
43:32.4,1005,10820092,10820361,4,2,2_4,-3.6191406,-11.7265625,-3.4101562,-12.703125,0.26000977,-0.02999878,0.52881473,2.0292969,0.6201172,1.9591831,0.20654297,0.26123047,4.4882812,1.9804688,1.4697266,0.6801758,0.9986735,1.8849477,2.154663,0.988719,0.28070393,0.17613916,0.9986735,0,0.000250036,1.5676281,0.42309278,0.72,0.18546692,3,,,,,,,,,,,,,FALSE,6/1/2025,43:22.4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T15:43:22Z,2,4,cyclist-car,18,Sunday,rear-end,No,No,Both bicycle and car are waiting at the signal and record an interaction when they start moving slowing on green signal
29:06.3,1001,10853630,10853767,4,5,4_5,37.28125,6.8789062,39.21875,11.0625,1.4101562,3.9804688,4.306657,-0.010002136,0,0.028254407,0.8364258,3.0917969,4.1484375,1.9804688,0.8300781,0.6401367,4.610462,4.2262254,1.8997803,0.41900107,1.1901006,0.02926623,0.637217,1.2,0.15332028,0.6372174,0.33988482,1.2,0.39175358,3,,,,,,,,,,,,,FALSE,6/1/2025,28:56.3,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T16:28:56Z,4,5,car-escooter,19,Sunday,stationary conflict,No,No,Turning car vs Stopped e-scooter at signal - different lanes
30:03.6,1005,10901854,10901776,4,1,1_4,-3.2597656,-11.703125,-1.8095703,-6.9882812,3.6308594,1.0400391,3.7422612,0.070007324,-0.5800781,0.8169551,0.33129883,5.6015625,4.2109375,1.9296875,0.4399414,0.5600586,4.9328303,3.9120898,1.7851562,,,,,,,,,,,0,3.7422612,2.8431776,0.8990836,4.9759936,6.2730255,0.5,5,0.588899,0,7.164172,0.5375421,critical,TRUE,6/1/2025,29:53.6,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T17:29:53Z,1,4,pedestrian-car,20,Sunday,crossing,Yes,No,Hard breaking of the car observed to avoid collision with crossing pedestrian
37:45.1,1007,10907375,10908012,6,3,3_6,45.53125,-16.84375,46.25,-20.28125,-0.010002136,0.010002136,0.007220858,-1.2900391,2.9804688,3.865917,2.2402344,1.6582031,5.1210938,2.1992188,1.7597656,0.64990234,3.5118382,3.2345273,2.432495,0.7002886,1.1788197,0.04929251,0.77679455,0.96,0.07219641,0.82711273,0.4951678,1.2,0.29120615,3,,,,,,,,,,,,,FALSE,6/1/2025,37:35.1,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T17:37:35Z,3,6,motorcycle-van,20,Sunday,stationary conflict,No,No,Nearmiss registered between stopped van and motorcycle slowly moving between the van and a car
27:28.4,1002,10941007,10941023,4,3,3_4,34.75,28.921875,33.65625,26.875,2.2402344,3.8691406,6.0908446,3.4003906,8.34375,6.787495,1.0556641,2.7539062,4.2304688,1.9404297,2.3398438,1.6699219,2.320773,4.6225634,2.545166,0.5450243,0.25205743,0.10308644,0.5462812,0.48,0.2097344,0.54628307,0.7537635,0.48,0.94170797,3,,,,,,,,,,,,,FALSE,6/1/2025,27:18.4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T18:27:18Z,3,4,motorcycle-car,21,Sunday,rear-end,No,No,Motorcycle following the car at a safe distance
29:35.1,1001,10942600,10942439,6,3,3_6,38.90625,7.6289062,40.3125,11.2734375,2.0507812,3.3398438,4.130172,-0.010002136,0,0.018298458,0.57421875,3.4316406,5.1015625,2.1796875,1.6904297,0.75,3.9064238,3.9244597,2.43042,0.7170243,0.9908296,0.057758905,0.720688,0.96,0.109614864,1.242264,0.31655905,0.72,0.2889124,3,,,,,,,,,,,,,FALSE,6/1/2025,29:25.1,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T18:29:25Z,3,6,motorcycle-van,21,Sunday,stationary conflict,No,No,Turning van vs Stopped motorcycle at signal - different lanes
33:58.0,1007,10945323,10945232,7,1,1_7,41.375,-10.6328125,41.59375,-8.1484375,-1.6298828,2.1601562,1.4974102,-0.11999512,-0.090026855,0.365017,2.2226562,3.6914062,6.7382812,2.5800781,0.4099121,0.60009766,2.4939868,2.7098126,2.5820923,1.5659218,0.84705144,0.14131935,,,,,,,,1,1.4974102,0.09924957,1.3981606,3.4954014,3.6161509,0.5,5,0.7386818,0,11.138983,0.6858613,serious,TRUE,6/1/2025,33:48.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T18:33:47Z,1,7,pedestrian-truck,21,Sunday,NA,No,No,(Boarding case) Pedestrian boarding stopped bus/van (falsely detected as a truck)
