id1,id2,filter_failed,reason,total_timestamps,passed_filter,final_pairs,min_speed_diff,max_speed_diff,mean_speed_diff,min_ttc,max_ttc_val,min_lateral_dist,max_lateral_dist
10939701,10939724,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,321,83,,,,,3.7106451988220215,13.371499061584473,,
10939838,10939912,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),601,50,,-0.0283945482224226,0.5711352825164795,0.014749453403055668,,,,
10941146,10941168,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,466,51,,,,,5.080124378204346,8.65648365020752,,
10941928,10941966,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,337,57,,,,,2.572188138961792,5.4979329109191895,,
10944792,10944911,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,186,6,6.0,,,,,,,
10954821,10954852,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,286,28,,,,,4.281913757324219,8.117269515991211,,
10955270,10955482,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,279,37,,,,,3.1777985095977783,4.656864166259766,,
10955639,10955810,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,164,12,,,,,5.5640716552734375,8.660663604736328,,
10956171,10956182,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,263,30,,,,,3.9591195583343506,18.016279220581055,,
10957719,10957734,SAME_LANE,All lateral distances > 2.0m (not same lane),151,36,,,,,,,2.4649112224578857,7.161260604858398
10961862,10962062,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,280,98,,,,,3.202040433883667,25.843345642089844,,
10969917,10969921,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),173,27,,-0.6016216278076172,0.7614040374755859,0.3418499231338501,,,,
10971990,10972067,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,364,1,,,,,353.2293395996094,353.2293395996094,,
10973987,10974006,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,364,40,,,,,2.837942123413086,5.883462905883789,,
10974186,10974221,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,253,36,,,,,3.0142476558685303,5.881872177124023,,
10976644,10976656,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,999,42,,,,,4.049001216888428,6.070951461791992,,
10978646,10978669,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),170,57,,-9.544683456420898,0.5733575820922852,-0.31559377908706665,,,,
10979963,10980386,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,175,33,,,,,2.4944286346435547,10.8632230758667,,
10981842,10981864,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,377,50,,,,,2.9396588802337646,10.076114654541016,,
10982426,10982445,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,145,10,,,,,2.4049017429351807,145.8715057373047,,
10984095,10984123,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,606,17,,,,,13.489558219909668,15.676712989807129,,
10984742,10984810,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,200,11,11.0,,,,,,,
10989760,10989825,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,540,27,,,,,5.064908981323242,19.615596771240234,,
10991385,10991393,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,498,46,,,,,4.610013961791992,6.238377094268799,,
10993953,10993974,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,359,44,,,,,3.392587900161743,8.31574821472168,,
10994391,10994407,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,735,40,,,,,2.871145486831665,7.463490009307861,,
10995113,10995148,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,664,43,,,,,4.967702865600586,9.889774322509766,,
10995982,10996005,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,220,23,,,,,3.3588900566101074,11.53904914855957,,
10998313,10998344,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,233,42,,,,,4.799108982086182,21.35365104675293,,
