timestamp,id1,id2,interaction,leader,dist,TTC,MDRAC,closing_speed,speed_diff,yaw_diff,link
2025-06-01 00:06:43.443032980,10287539,10287921,bus_v_car,10287921,7.745415,1.1540083,inf,6.71175,1.7966187,175.88795,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T00:06:33Z
2025-06-01 00:06:43.537080050,10287539,10287921,bus_v_car,10287921,7.1707177,1.1007398,inf,6.514453,1.9580393,179.25912,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T00:06:33Z
2025-06-01 01:50:10.549896002,10326165,10326177,car_v_car,10326177,5.484753,0.57807755,inf,9.487919,6.0112834,167.2992,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T01:50:00Z
2025-06-01 01:50:10.651176929,10326165,10326177,car_v_car,10326177,4.7029176,0.52469414,inf,8.96316,6.0869856,168.75397,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T01:50:00Z
2025-06-01 07:48:45.714462996,10471095,10471128,bus_v_van,10471095,3.9342744,1.3368194,inf,2.943011,3.2081566,0.8952465,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T07:48:35Z
2025-06-01 07:48:46.315829039,10471095,10471128,bus_v_van,10471095,3.71402,1.4018545,inf,2.6493618,5.040637,1.230964,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T07:48:36Z
2025-06-01 07:54:01.583321095,10475052,10475618,car_v_car,10475618,6.013271,0.5545394,inf,10.843722,3.262985,170.3906,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T07:53:51Z
2025-06-01 08:39:15.935570955,10504828,10505632,car_v_car,10505632,7.920384,1.2271751,10.505667471565312,6.4541593,1.4877775,170.8372,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T08:39:05Z
2025-06-01 08:39:16.037695885,10504828,10505632,car_v_car,10505632,7.362692,1.1533041,13.681711701267856,6.383999,1.7262177,172.09615,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T08:39:06Z
2025-06-01 08:39:16.142169952,10504828,10505632,car_v_car,10505632,6.767794,1.0678315,21.436177954073152,6.3378854,1.8284881,172.72562,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T08:39:06Z
2025-06-01 08:39:16.259475946,10504828,10505632,car_v_car,10505632,6.2591534,0.9981794,40.10373395201895,6.27057,2.1742008,173.41104,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T08:39:06Z
2025-06-01 09:01:54.258215904,10517244,10517431,truck_v_car,10517244,4.926697,0.655279,inf,7.518472,1.8256357,0.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T09:01:44Z
2025-06-01 09:03:59.812443972,10518668,10518739,car_v_car,10518739,7.322109,0.5594438,inf,13.088195,6.7391453,89.972275,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T09:03:49Z
