timestamp,id1,label1,pos_x1,pos_y1,vel_x1,vel_y1,vel1,yaw1,id2,label2,pos_x2,pos_y2,vel_x2,vel_y2,vel2,yaw2,distance,ttc,closing_speed,is_veh1_follower,follower_vel,leader_vel,speed_diff
2025-06-01 00:06:43.129242897,10287539,8,42.9375,9.8984375,1.6601562,3.6992188,4.6452656,0.5029297,10287921,4,49.21875,17.53125,-3.2402344,-1.1503906,3.51747,3.4570312,9.8850355,1.4412777,6.8585224,True,4.6452656,3.51747,1.1277957
2025-06-01 00:06:43.240183115,10287539,8,43.375,10.0,1.6796875,3.6699219,4.608366,0.49072266,10287921,4,48.9375,17.453125,-3.2109375,-1.1396484,3.4592555,3.4707031,9.300026,1.3717667,6.7795973,True,4.608366,3.4592555,1.1491106
2025-06-01 00:06:43.337908030,10287539,8,44.03125,10.203125,1.8701172,3.6699219,4.815345,0.46728516,10287921,4,48.65625,17.390625,-3.1601562,-1.1103516,3.383758,3.4824219,8.546975,1.2677315,6.7419443,True,4.815345,3.383758,1.4315867
2025-06-01 00:06:43.443032980,10287539,8,44.71875,10.453125,2.0898438,3.6894531,5.0917125,0.45166016,10287921,4,48.375,17.28125,-3.0898438,-1.1503906,3.2950938,3.5214844,7.745415,1.1540083,6.71175,True,5.0917125,3.2950938,1.7966187
2025-06-01 00:06:43.537080050,10287539,8,45.34375,10.65625,2.1796875,3.7597656,5.208483,0.4182129,10287921,4,48.125,17.265625,-3.0195312,-1.1201172,3.250444,3.546875,7.1707177,1.1007398,6.514453,True,5.208483,3.250444,1.9580393
2025-06-01 00:07:50.832639933,10287921,4,73.125,-62.78125,12.2890625,-13.453125,16.526905,5.453125,10288098,4,73.0625,-59.0,13.7578125,-17.5625,20.374979,5.4960938,3.7817664,0.914998,4.133087,False,20.374979,16.526905,3.848074
2025-06-01 00:07:50.941036940,10287921,4,74.375,-64.0625,12.4609375,-13.2890625,16.683784,5.4648438,10288098,4,74.4375,-60.75,13.671875,-17.65625,20.628374,5.3710938,3.3130896,0.7627579,4.3435664,False,20.628374,16.683784,3.9445896
2025-06-01 00:07:51.038043976,10287921,4,75.625,-65.4375,12.6328125,-13.1328125,17.055235,5.4765625,10288098,4,75.8125,-62.53125,13.5703125,-17.734375,21.10281,5.3671875,2.912292,0.64265496,4.531657,False,21.10281,17.055235,4.047575
2025-06-01 00:27:52.065289021,10297104,4,51.25,-31.90625,-7.7109375,8.2890625,11.343344,2.3183594,10297121,4,58.28125,-38.40625,-11.6328125,10.8203125,13.031315,2.3886719,9.57541,2.0824654,4.598112,False,13.031315,11.343344,1.6879711
2025-06-01 00:27:52.171642065,10297104,4,50.53125,-31.125,-7.7304688,8.4375,11.096205,2.3144531,10297121,4,57.25,-37.53125,-11.9609375,10.890625,12.975068,2.3710938,9.283407,1.9525148,4.75459,False,12.975068,11.096205,1.8788633
2025-06-01 00:27:52.268253087,10297104,4,49.6875,-30.265625,-7.7109375,8.3984375,11.2755575,2.3105469,10297121,4,56.21875,-36.59375,-11.2421875,10.203125,13.181955,2.3710938,9.094086,2.3982995,3.7918892,False,13.181955,11.2755575,1.9063978
2025-06-01 00:27:52.373025894,10297104,4,49.0,-29.546875,-7.5507812,8.0703125,10.938185,2.3066406,10297121,4,55.28125,-35.6875,-10.5625,9.5234375,13.089735,2.3789062,8.784155,2.771556,3.1693947,False,13.089735,10.938185,2.1515503
2025-06-01 00:28:03.158768892,10297104,4,-23.09375,53.4375,-7.0195312,7.8007812,10.834041,2.3261719,10297121,4,-19.25,47.9375,-8.3203125,9.8203125,12.318154,2.2753906,6.7100234,2.7952802,2.4004834,False,12.318154,10.834041,1.4841137
2025-06-01 00:32:11.862979889,10298663,4,48.65625,15.1484375,-2.9003906,-1.3203125,2.6921895,3.9160156,10298733,4,41.125,8.640625,4.078125,2.8300781,4.979822,0.38500977,9.953459,1.2451324,7.9938955,False,4.979822,2.6921895,2.2876327
2025-06-01 00:32:11.970658064,10298663,4,48.4375,15.0078125,-2.9492188,-1.2402344,2.7191257,3.8769531,10298733,4,41.625,8.84375,4.2695312,2.6894531,5.0571747,0.3828125,9.187264,1.1499342,7.9893827,False,5.0571747,2.7191257,2.338049
2025-06-01 00:32:12.063911915,10298663,4,48.21875,14.8984375,-2.9296875,-1.1699219,2.6828003,3.8398438,10298733,4,42.3125,9.09375,4.6601562,2.6191406,5.180812,0.36010742,8.281195,1.026284,8.069106,False,5.180812,2.6828003,2.4980116
2025-06-01 00:38:19.866852999,10301221,4,64.125,17.984375,12.6328125,6.140625,12.115116,0.48095703,10301288,4,72.0625,20.1875,10.2734375,3.3007812,10.498869,0.34716797,8.2375765,2.7160373,3.0329394,True,12.115116,10.498869,1.6162472
2025-06-01 00:38:19.965159893,10301221,4,65.375,18.65625,12.8984375,6.5507812,12.566559,0.47631836,10301288,4,73.1875,20.578125,10.0,3.1992188,10.778716,0.3618164,8.045419,2.2254784,3.6151414,True,12.566559,10.778716,1.7878428
2025-06-01 00:38:20.066422939,10301221,4,66.625,19.34375,13.2109375,6.9804688,12.864739,0.46533203,10301288,4,74.1875,20.953125,10.5,3.4609375,10.897773,0.35717773,7.731849,2.2847266,3.3841465,True,12.864739,10.897773,1.9669666
2025-06-01 00:40:47.144006968,10302390,4,41.59375,-21.515625,-2.0195312,2.3007812,2.7902472,2.2949219,10302409,4,46.625,-22.796875,-3.9609375,4.4414062,6.935592,2.2871094,5.1918283,2.154618,2.4096282,False,6.935592,2.7902472,4.1453447
2025-06-01 00:40:47.235383034,10302390,4,41.53125,-21.40625,-1.9199219,2.1992188,2.700411,2.3007812,10302409,4,46.3125,-22.484375,-3.7890625,4.21875,6.8036532,2.2890625,4.901296,2.161455,2.2675912,False,6.8036532,2.700411,4.103242
2025-06-01 00:40:47.344352007,10302390,4,41.46875,-21.34375,-1.8496094,2.1191406,2.345379,2.2929688,10302409,4,46.0625,-22.25,-3.609375,3.9492188,6.2877707,2.2890625,4.6822886,2.2503443,2.0806987,False,6.2877707,2.345379,3.9423916
2025-06-01 01:03:24.443113089,10309449,4,46.875,-23.25,-2.359375,2.7695312,3.8111312,2.2636719,10309458,4,46.8125,-27.59375,-4.828125,5.671875,8.59816,2.265625,4.3441997,1.5154932,2.8665254,False,8.59816,3.8111312,4.7870283
2025-06-01 01:03:24.542556047,10309449,4,46.71875,-23.0625,-2.3007812,2.6894531,3.6423197,2.2597656,10309458,4,46.375,-27.125,-4.6992188,5.4296875,8.386065,2.28125,4.0770173,1.6125815,2.528255,False,8.386065,3.6423197,4.743745
2025-06-01 01:03:24.740358114,10309449,4,46.4375,-22.734375,-2.140625,2.5195312,3.3701427,2.2539062,10309458,4,45.625,-26.28125,-4.390625,5.109375,7.9575377,2.2695312,3.6387467,1.7995338,2.0220497,False,7.9575377,3.3701427,4.5873947
2025-06-01 01:50:10.549896002,10326165,4,29.984375,21.109375,1.2099609,7.9101562,7.798482,1.2910156,10326177,4,29.15625,26.53125,-1.0898438,-2.0390625,1.7871985,4.2109375,5.484753,0.57807755,9.487919,True,7.798482,1.7871985,6.0112834
2025-06-01 01:50:10.651176929,10326165,4,30.25,21.875,1.4501953,7.859375,7.7961016,1.2617188,10326177,4,29.109375,26.4375,-1.0703125,-2.0097656,1.7091162,4.2070312,4.7029176,0.52469414,8.96316,True,7.7961016,1.7091162,6.0869856
2025-06-01 01:50:10.741491079,10326165,4,30.515625,22.609375,1.7001953,7.8398438,7.8390913,1.2402344,10326177,4,29.0625,26.375,-1.0498047,-1.9501953,1.6556592,4.2070312,4.0362735,0.49564165,8.143532,True,7.8390913,1.6556592,6.183432
2025-06-01 02:25:12.844311953,10337006,4,43.4375,-19.921875,-1.6103516,1.8603516,2.015834,2.2753906,10337016,4,47.59375,-28.625,-4.71875,5.5117188,8.2865925,2.2871094,9.644626,2.08107,4.634455,False,8.2865925,2.015834,6.2707586
2025-06-01 02:25:12.943053961,10337006,4,43.375,-19.859375,-1.5595703,1.7998047,1.8661369,2.2734375,10337016,4,47.1875,-28.15625,-4.6015625,5.2890625,7.9966865,2.2890625,9.1308975,2.0561867,4.440695,False,7.9966865,1.8661369,6.1305494
