pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,ttc,yaw_diff,yaw_rate,prediction,probability,log_probability,mahalanobis_distance
10486607_10486637,2025-06-01 08:09:04.966121912,6,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:09:04Z,1,0.0308356160918871,7.7566757,0.67680484,-0.7142869013709632,11.460728,4.4762325,-12.502706137278428,1,0.030986515266040043,-3.4742031605512658,1.4897434546990824
10487283_10487551,2025-06-01 08:10:57.423504114,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:10:57Z,1,0.0306357881054282,7.793463,0.6590522,0.0365787073294516,11.825259,13.876321,18.04116404956913,1,0.023066571476046634,-3.769370831796122,1.6762072972363737
10489549_10489573,2025-06-01 08:15:28.414705992,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:15:28Z,1,0.0231577376169817,6.788278,0.53237635,-0.1548411627623025,12.750901,20.59067,6.865205345536398,1,0.012738918725006999,-4.36309350488842,1.9992789323886413
10490114_10490145,2025-06-01 08:15:28.199269056,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:15:28Z,1,0.3120675186316172,7.926974,1.863561,-0.7831730743595727,4.25367,3.3571744,-10.076426509677832,1,0.04482352026172935,-3.1050222714863747,1.2169526624684182
10500402_10500583,2025-06-01 08:32:08.156131029,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:32:08Z,1,0.3215762853622436,7.8882732,2.0122101,-0.921449800681302,3.9202034,3.8047976,-19.574386428361684,1,0.0295373635992605,-3.5220992543634635,1.521554385634358
10500696_10500746,2025-06-01 08:32:14.954513073,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:32:14Z,1,0.0597226858139038,7.770198,0.87285906,-0.1248509935170079,8.902007,4.5881386,1.9822570446666816,1,0.08033197828416731,-2.5215875021337975,0.5604500370093842
10500713_10500735,2025-06-01 08:32:17.663964987,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:32:17Z,1,0.0544665356477101,7.955336,0.85061324,-0.0052157180527804,9.352471,1.230964,-5.659005860562699,1,0.07655036684506454,-2.5698063646617815,0.6407354906978298
10500973_10501002,2025-06-01 08:32:36.238243103,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:32:36Z,1,0.0331754945218563,5.828146,0.5789293,-0.520848158147317,10.067112,2.2381163,-8.255998243982798,1,0.0499029519729957,-2.9976751201989513,1.1252908424554633
10503753_10503837,2025-06-01 08:36:34.789311886,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:36:34Z,1,0.3225370900971548,7.3876514,1.7636795,-0.7524133089252164,4.188772,3.8047976,-2.473179952257002,1,0.05031265314892683,-2.9894986798541625,1.1180011625327355
10505104_10505232,2025-06-01 08:39:30.052499056,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:39:30Z,1,0.0756322294473648,6.563884,0.9301924,-0.2681650108014646,7.0564795,2.0143046,-3.167856934599491,1,0.040810740163541095,-3.1988099929109293,1.291723354878315
