pair_id,timestamp,label1,label2,same_zone,mdrac,distance,closing_speed,closing_accel,speed_diff,ttc,yaw_diff,yaw_rate,min_safe_dist,ttc_min_dist,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_severity,decel_model,link,near_miss_probability,prediction
12226763_12227669,2025-06-03 06:56:38.477315903,4,4,1,10.562251663208007,2.081587791442871,5.060626029968262,1.9572916327184784,5.146553993225098,0.4113301038742065,30.606239318847656,-13.636224615298948,2.9775390625,1.53145324589608,0.2106126558690101,1.5787161732400052,0.24,0.0014822022,2.0684592067999987,0.2922866441999999,0.6623999999999997,0.6470104131999999,6.354880332946777,4.082361221313477,2.272519111633301,1.0736898183822632,11.749727400152592,2.116551,21.0,0.135592580321209,4,1.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-03T06:56:38Z,0.5605361973713819,1
12255732_12255980,2025-06-03 07:28:10.061748028,4,4,1,37.00369135538737,7.131712913513184,14.97365951538086,-1.7901888233371133,1.5159406661987305,0.4762839078903198,157.45046997070312,8.496843705454346,3.23486328125,0.1319474335818768,0.016344747045535,0.1441705803900368,0.48,0.5926363802000002,0.2352278196999999,0.503263876,0.6,1.5574230139999994,8.479090690612793,8.703957557678223,-0.2248668670654297,-0.4552080631256103,0.2483124400833661,0.493987,6.0,0.9889122065594806,1,1.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-03T07:28:10Z,0.6429034612795624,1
12359682_12359948,2025-06-03 09:23:02.241574049,4,4,1,28.05536651611328,7.460573673248291,11.49009132385254,0.1964911551761618,10.434890747070312,0.649304986000061,56.62434005737305,14.753118351720923,3.0078125,1.3772467991496202,0.1441809681362209,1.7534084728709385,0.72,0.00620943556,1.9222408619999989,0.2822762242,0.8064000000000003,1.0445610081999996,10.933133125305176,11.448952674865724,-0.5158195495605469,-0.7517459988594055,0.0,0.686162,8.0,0.9751836882548602,0,1.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-03T09:23:02Z,0.7150927354629889,1
12522217_12522338,2025-06-03 11:52:42.376689911,4,4,1,36.1444943745931,6.309966087341309,14.718721389770508,-2.971666808701774,5.516215801239014,0.4287034273147583,157.33856201171875,-22.603956790560176,2.807373046875,0.3194757431730664,0.0423980555765069,0.8356644998143692,0.48,0.2199368223999999,0.9108137946,0.4043160578000001,0.6335999999999996,1.612039334,8.196685791015625,8.41348648071289,-0.2168006896972656,-1.07994282245636,0.0,0.200752,3.0,0.9958542526843897,0,1.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-03T11:52:42Z,0.8832316240961454,1
12593429_12594731,2025-06-03 13:02:05.708884001,4,7,1,30.27186088562012,6.7910356521606445,13.894623756408691,-2.4639374399802385,7.129997730255127,0.4887527525424957,158.34571838378906,-18.243947248697594,4.9794921875,2.680768264185316,0.3339661473548746,2.8680500916345584,0.48,0.00638968542,2.080908693999999,0.3048130756,0.6959999999999996,1.3443378959999992,9.487897872924805,9.444435119628906,0.0434627532958984,0.1077506989240646,0.948946530696372,0.403364,5.0,0.9781301025298332,1,1.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-03T13:02:05Z,0.7533880249391202,1
12623346_12626744,2025-06-03 13:23:19.019113064,6,6,1,5.898148059844971,1.963037371635437,2.596327304840088,6.786963147486745,1.7554454803466797,0.7560824155807495,154.7657470703125,68.81548583333706,3.638671875,0.9048023889368656,0.086251159016736,0.9657960073407892,0.48,0.00875981682,1.2807873188000003,0.3868651804,0.72,0.3038149853999999,2.415199279785156,0.7776712775230408,1.6375279426574707,1.5710850954055786,9.300609202434266,1.042291,11.0,0.8109137533322854,4,1.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-03T13:23:19Z,0.5587324429197977,1
12811832_12812000,2025-06-03 15:29:29.732224941,4,4,1,8.473839521408081,2.438301086425781,3.7543625831604,-1.1694164821602542,4.2314229011535645,0.6494580507278442,154.9895477294922,77.10098587791985,2.95263671875,0.9932460416032072,0.1037285515285302,1.025110370927447,0.48,0.00119709994,1.3708485324,0.3726734115999999,0.7199999999999999,0.3824801272000001,4.788769245147705,0.1749829351902008,4.613786220550537,1.5388941764831543,21.102917054601477,2.998118,29.0,0.9478237433438186,4,1.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-03T15:29:29Z,0.5010351394564688,1
12821311_12824941,2025-06-03 15:40:24.990530968,4,4,1,26.526352564493816,4.596194267272949,10.546744346618652,1.162958902637626,9.515592575073242,0.4357927143573761,19.919235229492188,314.23353028389243,3.13916015625,1.0826486139005254,0.1435028771522248,1.3125973229269836,0.48,0.00618032268,1.6934517949999992,0.2965457214000001,0.6671999999999998,0.9656783008,10.018755912780762,14.107324600219728,-4.088568687438965,-3.211332082748413,0.0,1.273169,13.0,0.7910925325648481,0,1.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-03T15:40:24Z,0.7502326653346275,1
12833176_12833579,2025-06-03 15:47:24.090528965,4,4,1,14.20150661468506,4.500433921813965,5.8226399421691895,-1.5257024243255513,4.509943008422852,0.7729198336601257,155.21336364746094,-9.610421669608789,3.14794921875,0.6366630478802178,0.0597518573053477,0.673694226959077,0.72,0.1899048384,1.1842885000000007,0.4387636013999998,0.6288000000000002,0.779145733,4.87621021270752,3.8852806091308594,0.9909296035766602,0.6993057727813721,5.883067987238835,1.417019,15.0,0.9994144375796958,3,1.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-03T15:47:24Z,0.5988887943071914,1
12856400_12856458,2025-06-03 16:10:01.871922016,4,4,1,20.16879145304362,6.614156723022461,8.055628776550293,-0.030819649210628,4.336409091949463,0.8210602402687073,2.350022077560425,4.288916827913581,3.350830078125,0.3040800186918985,0.0273869592989829,0.8567496973710071,0.72,0.11409172122,1.0451578794000005,0.4428525619999999,0.8304000000000005,0.6861542559999999,10.769906997680664,13.29261875152588,-2.522711753845215,-4.941793918609619,0.0,0.510485,6.0,0.9999687666075244,0,1.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-03T16:10:01Z,0.7669695702573791,1
