pair_id,timestamp,label1,label2,same_zone,mdrac,distance,closing_speed,closing_accel,speed_diff,ttc,yaw_diff,yaw_rate,min_safe_dist,ttc_min_dist,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_severity,decel_model,link,prediction,anomaly_score
16383178_16383274,2025-06-07 07:47:42.824071884,4,4,1,35.7634646097819,7.691817760467529,14.505715370178224,-1.543946751869551,6.1292805671691895,0.5302611589431763,161.36717224121094,15.4176378529294,3.159912109375,1.2731785470406225,0.1503038612621787,1.3773966683679948,0.48,0.00641009302,1.8351144679999984,0.2961322066000001,0.7487999999999999,1.3697328379999991,10.35894012451172,10.494125366210938,-0.1351852416992187,-0.6778920888900757,0.0,0.19942,3.0,0.9694412428827625,none,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-07T07:47:42Z,-1,-0.01218141877161516
16480000_16485174,2025-06-07 09:55:20.704428911,4,4,1,25.922552744547527,7.57063102722168,12.73127555847168,-0.1529026191106642,9.759912490844728,0.5946483016014099,89.86036682128906,71.25847153093125,2.82666015625,0.4331372843967107,0.0473985886665571,1.501042346171486,0.48,0.02699860816,1.318477534,0.3311614858000001,0.7295999999999995,1.3631593173999996,10.60140895843506,11.273774147033691,-0.6723651885986328,-0.4412629902362823,6.862139433580531,1.523729,16.0,0.216606336278275,critical,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-07T09:55:20Z,-1,-0.018692970875292536
16565027_16565682,2025-06-07 11:10:52.045285940,4,4,1,24.370516459147137,4.699151992797852,10.149687767028809,-2.160289411618672,9.041760444641112,0.4629848897457123,62.21963119506836,-24.406421110094136,3.017333984375,1.8610053172901184,0.2388364213156983,2.108283032268329,0.48,0.0057793523,2.0941354339999987,0.2806032175999999,0.6671999999999997,0.8936197228000001,10.544703483581545,10.547039031982422,-0.0023355484008789,-0.0046759224496781,0.6184986812638223,0.499484,6.0,0.933323076641862,low,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-07T11:10:52Z,-1,-0.017311542473552377
16672905_16673437,2025-06-07 12:56:20.444720984,4,4,1,26.71444034576416,5.59610652923584,12.385014533996582,-3.882212600419738,-3.824196100234986,0.4518449604511261,157.89808654785156,-40.31161507351302,2.296142578125,1.0875190669179315,0.1410784765302047,1.2282740049557346,0.48,0.0060267251799999,1.6351858999999993,0.2903335300000002,0.7199999999999998,1.2578281219999998,2.826606035232544,4.673864364624023,-1.8472583293914795,-4.568938255310059,0.0,0.404308,4.0,0.9995856586737272,none,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-07T12:56:20Z,-1,-0.022479188392153904
16713791_16713896,2025-06-07 13:32:00.670686960,4,4,1,24.509765625,1.847982406616211,7.030008792877197,0.1117183650243968,-1.731942892074585,0.262870579957962,173.67681884765625,0.045844177454617,2.925048828125,1.49470535055308,0.26838224859455,1.8479824302465648,0.0,0.00236587332,2.077786856799998,0.2916813801999998,0.5711999999999997,0.834370622,3.6569201946258554,6.112287521362305,-2.45536732673645,-4.957193374633789,0.2418555580220951,0.495314,5.0,0.6415218466388373,low,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-07T13:32:00Z,-1,-0.030073947416789593
16713791_16713943,2025-06-07 13:32:00.764960051,4,4,1,30.187077204386394,9.229244232177734,12.179738998413086,83.32026373063458,-0.8467855453491211,0.757753849029541,173.22918701171875,1715.262507546404,3.100341796875,1.1701475307020004,0.111599450912748,1.2115468225062536,0.72,0.00639678148,1.5289992089999995,0.3074427194,0.7680000000000002,1.1834663039999995,4.6221232414245605,6.112287521362305,-1.490164279937744,-3.715740442276001,0.2418555580220951,0.401041,4.0,0.9981609908148116,low,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-07T13:32:00Z,-1,-0.013167897584244193
16744342_16744745,2025-06-07 13:59:49.336191893,4,4,1,17.98074213663737,3.1913273334503174,9.705985069274902,-15.022778948995294,4.469182014465332,0.3287999331951141,164.72434997558594,-21.32141371720444,3.062744140625,1.7649186321912216,0.2776533937997685,1.7702306633776572,0.24,0.0057793523,2.090644995999998,0.2958271717999999,0.6719999999999995,0.924797244,7.650725364685059,8.322331428527832,-0.6716060638427734,-0.2322647422552108,1.024025436278375,2.891554,30.0,0.8719874496230208,low,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-07T13:59:49Z,-1,-0.0009075359600535515
16871108_16872065,2025-06-07 16:16:47.105285883,4,4,1,21.46700820922852,6.34652042388916,8.010170936584473,6.278825152593833,4.735601425170898,0.7923077344894409,120.5984878540039,-467.9057123853469,3.0146484375,1.8571537003846093,0.1730340417472784,1.8575299016463376,0.72,0.00232394628,2.0676144699999988,0.280959665,0.8016000000000002,0.6777414154,6.048769474029541,6.494217872619629,-0.4454483985900879,-0.4989458918571472,2.94296150981279,0.892779,10.0,-0.0163072831280567,moderate,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-07T16:16:47Z,-1,-0.030777943289929
16927341_16928373,2025-06-07 17:16:36.819407940,4,4,1,31.4004695892334,9.73401165008545,12.806933403015137,-1.117248800506179,4.621068477630615,0.7600579857826233,161.0314483642578,-16.324238118911307,3.26025390625,0.1421578795035192,0.0133351595220416,0.5304026330298527,0.72,0.4891123924000001,0.920382817,0.496232976,0.6527999999999998,1.3764333860000002,8.533546447753906,8.99390697479248,-0.4603605270385742,-0.7476176619529724,0.0742702287060466,0.61577,7.0,0.9968809312883162,low,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-07T17:16:36Z,-1,-0.016340625369638095
16976552_16976986,2025-06-07 18:16:43.239413977,4,4,1,30.92500352859497,3.491409540176392,16.68657684326172,-12.14902073477066,-0.712742805480957,0.2092346251010894,131.9639129638672,-379.64227604792,2.924560546875,1.0798362887721935,0.2216339852863182,1.399994428351078,0.24,0.0071939788,1.731849568199999,0.3115983001999999,0.4512,1.4761414079999997,6.953296661376953,7.733467102050781,-0.7801704406738281,-0.3122971355915069,10.164263099827496,2.498167,26.0,0.9414051488145604,critical,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-07T18:16:43Z,-1,-0.019408754580974685
