timestamp,id1,id2,zone,interaction,leader,dist,TTC,MDRAC,closing_speed,speed_diff,yaw_diff,link
2025-09-09 05:50:08.604931116,86922,86949,R-B,car_v_car,86949,1.6562546,0.49766964,7.849612712860107,3.3280203,2.6616144,18.576365,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-09T05:50:08Z
2025-09-09 07:57:53.739129066,112404,112416,R-B,car_v_car,112404,2.6550088,0.67399645,9.593100865681967,3.9392028,1.431076,38.047977,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-09T07:57:53Z
2025-08-25 12:10:18.596872330,1909951,1909988,R-B,car_v_car,1909951,2.4344213,0.87002814,6.92499303817749,2.798095,1.4846573,25.178808,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-25T12:10:18Z
2025-08-26 13:21:27.152013302,2250186,2250375,R-A,car_v_car,2250186,2.6716921,0.6685416,9.505828061457246,3.9962988,1.2435765,107.21875,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-26T13:21:27Z
2025-08-26 13:32:18.207425594,2259127,2259153,R-A,car_v_car,2259153,3.0197537,0.9782565,7.623050398703666,3.086873,2.8201084,29.547369,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-26T13:32:18Z
2025-08-27 12:34:54.133500099,2598045,2598151,R-A,car_v_car,2598151,7.884496,1.3034748,11.029391823353846,6.048829,1.3817749,15.441992,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-27T12:34:54Z
2025-08-28 04:45:58.031555413,2736975,2736979,R-B,car_v_car,2736979,5.0240297,0.9174154,12.665112750081304,5.476287,4.5972404,8.952465,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-28T04:45:58Z
2025-08-28 13:10:06.621381283,2858812,2858875,R-B,car_v_car,2858812,1.4763403,0.32663116,10.674506187438965,4.5199003,0.8821173,37.040825,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-28T13:10:06Z
2025-08-29 08:59:30.396859884,3029134,3029165,R-B,car_v_car,3029165,1.4817411,0.5494828,6.461907545725505,2.6966102,1.5670953,20.031141,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-29T08:59:30Z
2025-08-29 12:45:57.288082600,3106203,3106214,R-A,car_v_car,3106214,2.6481984,0.6655227,8.643029856433909,3.9791255,2.988925,21.575829,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-29T12:45:57Z
2025-08-29 15:18:52.172944307,3161226,3161263,R-B,car_v_car,3161226,2.2269325,0.47565207,11.755025625228882,4.681852,5.0443287,20.814482,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-29T15:18:52Z
2025-09-02 07:22:00.240974188,4080956,4080964,R-B,car_v_car,4080964,1.7684617,0.62154317,6.749125162760417,2.8452756,1.2868853,22.381163,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-02T07:22:00Z
2025-09-02 08:49:55.790077925,4108487,4108490,R-B,car_v_car,4108490,2.7525983,0.790407,8.89720344543457,3.4825075,1.7565556,32.005062,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-02T08:49:55Z
2025-09-02 09:24:36.327459574,4119819,4119832,R-B,car_v_van,4119819,2.6824534,0.6062388,10.642286936442057,4.4247475,3.528379,9.623899,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-02T09:24:36Z
2025-09-03 08:44:24.242532730,4358651,4358692,R-B,car_v_car,4358651,6.322596,0.4865266,11.421000902882803,12.995376,5.770766,24.507374,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-03T08:44:24Z
2025-09-03 13:29:47.070122957,4521434,4521573,R-A,car_v_car,4521434,3.2094693,0.767415,10.608960390090942,4.1821823,5.377513,9.176277,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-03T13:29:47Z
2025-09-03 14:04:49.037660599,4537549,4537628,R-B,car_v_car,4537549,2.6357927,0.6710966,10.131340344746908,3.9275904,2.3056521,52.483826,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-03T14:04:49Z
2025-09-04 04:47:38.851909399,4729288,4729305,R-B,car_v_car,4729288,3.256304,0.8536526,9.11399494242513,3.8145542,4.086584,33.45984,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-04T04:47:38Z
2025-09-04 05:08:20.751740456,4737516,4737540,R-B,car_v_car,4737540,1.6916363,0.3532894,11.851598103841146,4.788245,4.0451746,31.221722,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-04T05:08:20Z
2025-09-04 09:31:51.894062519,4832792,4832816,R-B,car_v_truck,4832816,4.72042,0.5326513,10.54571196428159,8.862121,7.3780446,163.26958,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-04T09:31:51Z
