timestamp,id1,id2,zone,interaction,leader,dist,TTC,MDRAC,closing_speed,speed_diff,yaw_diff,link
2025-06-04 04:15:37.974562883,13130564,13130814,A-L2,van_v_car,13130564,6.403067,0.9112803,4.118059567286305,7.026452,0.994987,3.580986,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-04T04:15:37Z
2025-06-04 05:13:55.341478109,13168548,13168566,E-L2,car_v_car,13168548,6.2469525,0.7889519,4.966668580830275,7.9180403,10.488945,2.5738337,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-04T05:13:55Z
2025-06-04 08:42:05.250216007,13358849,13359199,D-L2,bus_v_car,13359199,5.268777,0.5900911,6.489853189182898,8.928752,8.347487,16.002531,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-04T08:42:05Z
2025-06-04 11:53:13.493012905,13550913,13550957,E-L2,car_v_car,13550913,6.7931385,0.7713886,5.6619669176475655,8.806376,9.722832,0.11190581,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-04T11:53:13Z
2025-06-04 13:33:29.194168091,13644543,13645439,E-L2,car_v_car,13644543,6.7467623,0.80943614,5.522275166813654,8.335138,9.401927,0.44762325,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-04T13:33:29Z
2025-06-04 13:56:17.266438960,13669574,13669682,E-L2,car_v_car,13669574,4.21875,0.7259284,4.168959518447432,5.8115234,8.088225,3.3571744,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-04T13:56:17Z
2025-06-04 16:25:57.612773895,13838110,13838778,E-L2,car_v_van,13838110,6.420259,0.8918364,3.919024183276847,7.1989202,8.661732,0.7833407,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-04T16:25:57Z
2025-06-04 16:54:24.591604948,13864660,13864975,E-L2,van_v_car,13864660,7.019087,0.7731986,14.23081734428492,9.077987,10.491208,1.4547756,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-04T16:54:24Z
2025-06-04 17:54:23.480273008,13913814,13914101,E-L2,car_v_car,13913814,3.927971,0.69483423,4.033086590796307,5.653105,7.0280924,0.44762325,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-04T17:54:23Z
2025-06-04 22:46:05.458056927,14030238,14030253,C-L2,car_v_car,14030238,7.9230123,0.6922447,26.012526574004053,11.445393,10.032143,4.252421,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-04T22:46:05Z
