timestamp,id1,id2,interaction,dist,TTC,composite_risk,closing_speed,speed_diff,yaw_diff,link
2025-06-05 03:23:12.939105988,14067457,14067485,car_v_car,7.9835496,5.8257465,0.5937904436569068,1.3703908,1.5628214,1.9023988,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T03:23:02Z
2025-06-05 03:28:03.640650988,14069271,14069277,van_v_car,7.623527,2.942874,0.9155044954865976,2.5905042,0.69001865,1.230964,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T03:27:53Z
2025-06-05 03:33:40.350219011,14071174,14071185,car_v_car,7.9593697,6.351594,0.5084833461007112,1.2531295,1.1817341,0.44762325,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T03:33:30Z
2025-06-05 03:42:25.728591919,14073890,14074022,car_v_car,7.7789907,6.2774596,0.5030764689508278,1.239194,0.51260686,8.728653,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T03:42:15Z
2025-06-05 03:59:00.375910044,14080552,14080781,car_v_car,7.6312733,1.6606344,0.9624512550680164,4.5953965,5.9940495,2.6857395,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T03:58:50Z
2025-06-05 04:18:30.573337078,14091007,14091011,car_v_car,7.338429,28.591057,0.6954169192776994,0.2566687,3.008871,2.6857395,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T04:18:20Z
2025-06-05 04:21:42.652312994,14092447,14092459,van_v_car,5.9974766,56.416615,0.6213563923890523,0.10630692,0.17410517,0.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T04:21:32Z
2025-06-05 04:27:42.161906958,14096835,14096858,car_v_car,7.364283,5.4919834,0.5947290706628184,1.3409151,0.7002163,0.22381163,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T04:27:32Z
2025-06-05 04:44:39.668282032,14106265,14106304,car_v_car,7.763361,5.456473,0.5904555228416711,1.42278,0.19730973,1.5666814,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T04:44:29Z
2025-06-05 04:47:55.358212948,14108476,14108484,car_v_car,6.8937955,4.539672,0.6232687210827188,1.5185668,1.6215725,1.4547756,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T04:47:45Z
