timestamp,id1,id2,interaction,leader,dist,TTC,MDRAC,closing_speed,speed_diff,yaw_diff,link
2025-06-01 07:48:46.214777946,10471095,10471128,bus_v_van,10471095,3.5366385,1.1251743,inf,3.1431918,4.98342,0.6714349,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T07:48:36Z
2025-06-01 09:01:54.258215904,10517244,10517431,truck_v_car,10517244,4.926697,0.655279,inf,7.518472,1.8256357,0.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T09:01:44Z
2025-06-01 09:04:00.123322010,10518668,10518739,car_v_car,10518739,4.9585195,0.42502064,inf,11.666538,7.3297024,85.60795,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T09:03:50Z
2025-06-01 09:11:27.866431952,10522986,10523003,car_v_car,10522986,1.1763456,0.253477,inf,4.640837,0.7741604,0.22381163,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T09:11:17Z
2025-06-01 09:29:43.157147884,10535595,10535738,car_v_car,10535595,5.8557696,1.4053473,4.292572767015433,4.1667776,1.3981432,157.33957,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T09:29:33Z
2025-06-01 09:35:30.561595917,10540034,10540130,car_v_car,10540130,4.248736,0.3412116,inf,12.45191,7.3585825,159.04614,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T09:35:20Z
2025-06-01 09:36:36.953432083,10540442,10540480,truck_v_van,10540442,4.2830744,1.519146,73.62899108388125,2.8193963,1.726574,34.690804,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T09:36:26Z
2025-06-01 10:20:34.558135986,10570992,10571290,car_v_car,10571290,5.4544454,1.1095783,12.965048479855636,4.9157825,0.7500844,157.00386,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T10:20:24Z
2025-06-01 10:40:41.244851112,10584197,10584607,car_v_car,10584607,6.932501,0.9579639,95.31037309255616,7.236704,1.2075481,144.41446,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T10:40:31Z
2025-06-01 12:34:40.325583935,10670597,10671734,bus_v_car,10671734,1.8323436,1.6332111,inf,1.1219269,4.8628035,145.02994,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T12:34:30Z
2025-06-01 13:02:18.866708040,10690352,10690405,car_v_car,10690352,3.6763604,0.9452019,77.16683197053831,3.8894975,1.9201565,59.08627,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T13:02:08Z
2025-06-01 13:35:28.119827032,10718058,10718064,car_v_car,10718058,3.1605787,0.9622087,38.91038137030497,3.2847123,0.9402709,2.0143046,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T13:35:18Z
2025-06-01 14:57:40.383486986,10788941,10788955,car_v_car,10788941,3.4085429,0.654531,inf,5.207611,0.5793123,5.5952907,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T14:57:30Z
2025-06-01 14:59:43.533787966,10789621,10790156,car_v_car,10789621,6.888694,0.9308581,340.7772198321257,7.4003696,0.6964457,159.13007,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T14:59:33Z
2025-06-01 15:12:16.070090055,10798492,10799092,bus_v_car,10798492,1.9681609,0.35601828,inf,5.528258,0.56935406,99.0926,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T15:12:06Z
2025-06-01 15:31:56.395726919,10812314,10813166,car_v_car,10813166,7.763408,1.1618664,13.813083578189064,6.6818423,2.2428017,1.9023988,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T15:31:46Z
2025-06-01 16:18:50.488533020,10846134,10846143,car_v_car,10846134,1.2902967,0.4248483,inf,3.0370762,2.6252937,1.0071523,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T16:18:40Z
2025-06-01 16:20:39.647384882,10847545,10847571,car_v_car,10847545,1.5051993,0.4353537,inf,3.457417,1.1124744,0.8952465,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T16:20:29Z
2025-06-01 17:30:30.532332897,10902226,10902246,car_v_van,10902226,6.935881,1.7147663,9.41674187800776,4.044797,3.3549068,26.409771,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T17:30:20Z
2025-06-01 17:52:42.135366917,10919844,10919852,car_v_car,10919844,5.2575283,1.4270996,3.632487272194058,3.6840656,1.4506211,1.3428698,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T17:52:32Z
2025-06-01 18:20:33.385298967,10936238,10936713,car_v_truck,10936238,4.5754313,0.5894874,inf,7.761712,6.6229596,85.998604,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T18:20:23Z
2025-06-01 19:29:42.062628984,10981489,10981635,car_v_car,10981489,6.152759,0.94802547,115.78894355056346,6.490078,0.6619642,157.7872,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T19:29:32Z
2025-06-01 20:27:26.459969997,11010444,11010473,car_v_car,11010444,7.74718,1.5205882,4.241556890200149,5.0948577,0.54754686,5.371479,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T20:27:16Z
