pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,speed_diff,ttc,yaw_diff,yaw_rate,min_safe_dist,ttc_min_dist,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_severity,decel_model,prediction,probability,log_probability,mahalanobis_distance
14339412_14339446,2025-06-05 08:28:42.559322119,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T08:28:42Z,1,7.729154240802859,5.578912734985352,4.448606967926025,39.74902960261064,-1.1458473205566406,1.254080891609192,11.414392471313477,7.617507246265166,3.632080078125,2.063180604957199,0.1463118528527453,2.138427533131092,1.2,0.00127745416,1.971991039999999,0.3077440608,1.1520000000000008,0.3961443214000002,4.43691349029541,5.137906551361084,-0.7009930610656738,-0.233987346291542,17.206469534773515,2.9958590000000003,41.0,0.9925414809426688,critical,True,-1,1.1933028191086471e-157,-361.32913465922695,26.796891432686362
14484525_14484672,2025-06-05 11:10:06.095069885,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T11:10:06Z,1,26.577203114827476,7.404634475708008,11.56886386871338,-2.503555049765834,3.7841506004333496,0.6400485634803772,26.074054718017575,2.224088131006296,3.4794921875,1.3694505354887685,0.1445911796771448,1.820099638841923,0.72,0.00620943556,1.9222408619999989,0.3094015038,0.8160000000000003,1.0531053621999995,7.528565406799316,11.399924278259276,-3.871358871459961,-10.0016508102417,0.0,0.387072,4.0,0.999025523018457,none,True,-1,0.0,-690.7755278982137,53.46934966704941
14503701_14503811,2025-06-05 11:28:00.155239105,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T11:28:00Z,1,0.031867341151964,4.484701633453369,0.498115211725235,-0.0997620323638946,0.3669601678848266,9.003341674804688,178.93739318847656,-886.5687030280486,3.242431640625,2.5194428110446694,0.0552626291783923,2.5198821310641355,6.24,0.00130964452,1.7904634059999995,0.3837373304,1.1520000000000008,0.11068504886,0.677466094493866,0.4084273874759674,0.2690387070178985,0.0897811353206634,1.1232829760594358,2.996606,31.0,-0.1852938182487489,low,True,-1,1.2027693719098778e-164,-377.4393285432079,27.415649292028238
14652539_14652540,2025-06-05 13:35:24.308763981,4,6,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T13:35:24Z,1,0.5255328231463148,6.50301456451416,2.092994213104248,-1.703222581826112,0.0005183219909667,3.107038974761963,174.68496704101562,1.2218083434401033,3.5478515625,5.637544569478899,0.2344506901105797,5.641768564826326,0.72,0.00147644018,2.0730640379999987,0.3299081312,1.118400000000001,0.2179200422,6.824357986450195,3.3861210346221924,3.438236951828003,1.1499793529510498,6.765410694053361,2.989825,30.0,-0.9261590198418116,critical,True,-1,8.235725648698563e-183,-419.264590540531,29.220085875211605
14690413_14690821,2025-06-05 14:06:21.801122904,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T14:06:21Z,1,0.1266931836526847,5.669205665588379,1.1323069334030151,-0.6970564058363726,0.934802770614624,5.006774425506592,8.281030654907227,-6.47243742134976,3.042724609375,1.676053261768434,0.0520072366080555,1.676088446584465,4.56,0.00130964452,1.7951407239999997,0.346373707,1.1520000000000008,0.1418199175999999,,,,,,,,,none,False,-1,0.0,-690.7755278982137,43.991216582216055
14735319_14735370,2025-06-05 14:38:33.993037939,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T14:38:33Z,1,0.052817054696715,5.961183547973633,0.7434981465339661,-0.0560863757272513,0.9525498151779176,8.017751693725586,6.042913913726807,8.716773527764376,2.974609375,2.206038855862168,0.0518018929138857,2.206274351682623,6.96,0.00130964452,1.8033415019999997,0.3572236528,1.1520000000000008,0.12297697322,,,,,,,,,none,False,-1,0.0,-690.7755278982137,43.99907832830397
14846939_14847596,2025-06-05 16:13:14.494476080,4,8,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T16:13:14Z,1,14.05451726913452,4.697619438171387,9.99838161468506,-62.90390295436324,6.80386209487915,0.4698379933834076,95.11892700195312,-165.76493267038472,5.3505859375,0.1798130461275325,0.0225043456880567,0.2100462662729803,0.48,0.550712966,0.7025881013999999,0.4794343761999999,0.5759999999999998,1.0215239697999996,7.141921520233154,5.658405780792236,1.483515739440918,0.6211116313934326,8.508727740970267,2.388485,25.0,0.4112491470496877,critical,True,-1,0.0,-690.7755278982137,40.17322314770423
14956689_14956810,2025-06-05 18:15:03.675647020,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T18:15:03Z,1,13.784571011861166,4.818431854248047,7.634084701538086,-9.25406874184651,7.831511974334717,0.6311734914779663,178.4058380126953,-886.0950292635487,2.95068359375,1.8554860725668163,0.1979660776108883,1.9156407439999072,0.48,0.0023678926,2.098025679999999,0.2800736639999999,0.8063999999999999,0.7669505167999998,8.152673721313477,8.562076568603516,-0.409402847290039,-0.2043658643960952,6.655789927609756,2.003284,21.0,0.9042533567818856,critical,True,-1,1.2117232667905953e-162,-372.82674153118955,29.120515734794004
15075468_15075484,2025-06-05 21:11:31.470247030,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T21:11:31Z,1,11.740295569101969,3.935464143753052,5.5479512214660645,-9.030532703096805,3.624359369277954,0.7093545198440552,154.9895477294922,55.25328773948555,3.560546875,0.6121181694420015,0.0604464914644108,0.6317258033481334,0.72,0.2084210151999999,1.2168647994000006,0.5098815837999999,0.6096000000000001,0.7775507008000001,4.773728370666504,0.866922914981842,3.906805515289306,1.309134006500244,8.930402243851537,2.984267,31.0,-0.0541990595179271,critical,True,-1,9.882035460498644e-173,-396.0565025791599,25.38683992142972
15075484_15075570,2025-06-05 21:11:37.353094101,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T21:11:37Z,1,9.380976994832356,2.5562520027160645,4.326687812805176,-0.8463005491062849,1.3640811443328855,0.5908103585243225,21.37401008605957,-52.99723240003185,3.29833984375,0.6045018456547601,0.0665620788634768,0.6966738122211611,0.48,0.13159322996,1.0960638472000004,0.509816117,0.6287999999999999,0.4903035554,3.578148603439331,1.499382257461548,2.078766345977783,0.6952658295631409,10.300653375436546,2.989887,31.0,-0.81932230793322,critical,True,-1,1.3629146123956249e-235,-540.7978713496605,32.43282398513207
