pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,speed_diff,ttc,yaw_diff,yaw_rate,prediction,anomaly_score
14150154_14150306,2025-06-05 05:39:24.839050055,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T05:39:24Z,1,22.07669993809291,8.854854583740234,8.679433822631836,-0.399592064720756,7.861473560333252,1.020211100578308,15.21919059753418,-532.6225200620928,-1,-0.008371760132312
14150306_14150496,2025-06-05 05:39:39.035274982,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T05:39:39Z,1,27.998909759521485,7.463059902191162,11.319896697998049,-0.2004750183954972,11.1087007522583,0.6592869162559509,157.33956909179688,68.63857991732151,-1,-0.04181990362450794
14151661_14151700,2025-06-05 05:41:30.545202017,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T05:41:30Z,1,27.78443260192871,9.282788276672363,11.465250015258787,-0.7741318027539489,10.689530372619627,0.8096455335617065,81.35552978515625,-20.675978805497635,-1,-0.009791589985413074
14380739_14380801,2025-06-05 09:20:07.680542946,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T09:20:07Z,1,16.834473037719725,8.98247241973877,7.844082832336426,-9.62539471354978,-0.4358086585998535,1.1451271772384644,30.43838119506836,-117.32678987089162,-1,-0.0013150614930660387
14396057_14396381,2025-06-05 09:37:24.459455967,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T09:37:24Z,1,13.67016625404358,5.966377258300781,5.613693237304688,-0.6925235484281553,4.099584102630615,1.0628256797790527,162.26242065429688,154.716304355256,-1,-0.002434495453635721
14401925_14402389,2025-06-05 09:44:54.719124079,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T09:44:54Z,1,5.881929715474446,2.805416345596313,3.657360553741455,-7.400143560840997,5.226963520050049,0.767060399055481,151.13478088378906,-48.5924237994057,-1,-0.01185068377274412
14781623_14782161,2025-06-05 15:12:39.512495041,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T15:12:39Z,1,1.0001936847683262,3.7293100357055664,2.0175552368164062,-6.624195947151727,-0.932440221309662,1.848430156707764,167.74681091308594,-779.6219384473632,-1,-0.01030017942239303
14846939_14847596,2025-06-05 16:13:14.494476080,4,8,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T16:13:14Z,1,14.05451726913452,4.697619438171387,9.99838161468506,-62.90390295436324,6.80386209487915,0.4698379933834076,95.11892700195312,-165.76493267038472,-1,-0.04641823470038364
14866905_14867240,2025-06-05 16:32:09.441657066,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T16:32:09Z,1,32.846683502197266,9.574759483337402,13.333663940429688,-2.448700918752967,1.712453842163086,0.7180891633033752,170.54344177246094,-1.434375858826883,-1,-0.001409216692210391
14956689_14956810,2025-06-05 18:15:03.675647020,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T18:15:03Z,1,13.784571011861166,4.818431854248047,7.634084701538086,-9.25406874184651,7.831511974334717,0.6311734914779663,178.4058380126953,-886.0950292635487,-1,-0.07505032168461401
