pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,speed_diff,ttc,yaw_diff,yaw_rate,min_safe_dist,ttc_min_dist,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_severity,decel_model,near_miss_probability,prediction
11127412_11127527,2025-06-02 03:27:25.060861111,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T03:27:25Z,1,1.0939737685095616,9.785292625427246,3.629378080368042,-2.6704523962877618,4.233757495880127,2.6961348056793213,0.0,5.487631507256723,3.18994140625,0.16965776229195,0.0074920606828791,0.2628949781400369,2.64,0.2802673880799998,0.3815413726000001,0.4282616261999999,1.1376000000000008,0.3628132314,10.617751,8.280137,2.337614,1.558185,3.431515322207889,1.500216,16,0.9975888745348024,2,1.0,0.50458896,1
11127499_11127527,2025-06-02 03:27:25.060861111,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T03:27:25Z,1,0.7599697732177115,9.951542854309082,2.883528470993042,0.3328867162097385,2.188309669494629,3.4511685371398926,1.0071523189544678,-8.780210411610756,3.16015625,0.8841419494629706,0.0340927744564851,0.903303399334908,3.36,0.0426399061599999,1.1270298365999996,0.3825917463999999,1.156800000000001,0.2793615764,12.806061,6.7190356,6.087025,2.2648368,5.642047073213615,2.687622,28,0.999157664250788,3,1.0,0.5917755,1
11133360_11133388,2025-06-02 03:42:24.914051056,4,6,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T03:42:24Z,1,4.688219917691783,5.3280348777771,3.87117075920105,-2.299043534095937,0.7095303535461426,1.3763368129730225,169.98492431640625,-1425.2757445101022,3.47216796875,2.58984375,0.1740319844008793,2.6211266111949003,0.96,0.00130078116,2.060040231999999,0.3091960575999999,1.156800000000001,0.355107792,5.74447,6.4507666,-0.70629644,-0.30526733,3.789244100041428,2.313698,24,-0.8570842172751043,2,1.0,0.98259866,1
11135033_11135061,2025-06-02 03:44:47.024912119,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T03:44:47Z,1,1.7384913126033386,8.878520011901855,4.7707200050354,-16.02441806610086,-3.309532165527344,1.8610440492630005,2.90955114364624,24.559376792616675,3.21533203125,3.6247624208561806,0.2039680150891679,3.670763129531106,1.44,0.001606708,2.099771285999999,0.3115568168,1.156800000000001,0.4315231424000001,4.591306,6.9393387,-2.3480325,-0.7832966,2.1624873299026484,2.997629,30,0.9926291816359932,2,1.0,0.70393443,1
11161600_11161937,2025-06-02 04:24:43.834741116,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T04:24:43Z,1,18.44745381673177,8.1084566116333,7.294873237609863,1.2979240160439047,7.177581787109375,1.1115281581878662,34.01936721801758,-19.380251106596265,2.58740234375,1.5700911770800368,0.1194181334399987,1.769849550566552,0.96,0.00231133386,1.8643559199999995,0.2854198778,1.1136000000000008,0.5203486738,7.926262,8.991912,-1.06565,-0.6295426,0.7492619167385952,1.6927370000000002,18,0.9748262348331372,1,1.0,0.959706,1
11169473_11169491,2025-06-02 04:35:08.937074900,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T04:35:08Z,1,0.7596151989640474,9.779003143310549,2.9870455265045166,-0.862571476158455,3.483274221420288,3.2738044261932373,2.350022077560425,-9.020650621913484,3.5771484375,0.0747836433919322,0.0029247878445102,0.2686665931619518,3.36,0.2477642637599999,0.6834983414800001,0.4490510772,1.1280000000000008,0.2855727984,7.2824717,0.24233642,7.0401354,2.3514595,4.556951270897918,2.993943,31,0.9999708835462272,3,1.0,0.58752054,1
11182831_11182903,2025-06-02 05:00:28.599983931,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T05:00:28Z,1,11.956596249880263,9.134387016296388,7.273874282836914,-5.797724946947421,-0.1299264430999755,1.2557802200317385,1.45477557182312,-2.384140863004211,3.177978515625,1.1311837704195395,0.0798174594545515,1.1624320061600646,1.2,0.00243572134,1.3057799776,0.3348852132000001,1.152000000000001,0.5134129195999999,3.7066846,4.047197,-0.34051228,-0.11389796,8.942559579416503,2.989626,30,0.9996013254592776,4,1.0,0.9707773,1
11196544_11196568,2025-06-02 05:19:30.073561907,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T05:19:30Z,1,4.527780890464783,2.1786651611328125,2.1236321926116943,-1.2569183270140902,2.822035551071167,1.0259145498275757,161.70289611816406,-87.98581445616291,3.112060546875,1.3797405376678398,0.1099755818969996,1.4098084174955037,0.72,0.00110147982,1.5893127969999998,0.3302566266000001,1.0848000000000009,0.2115828928,3.1695046,2.1119874,1.0575173,0.35320675,1.6405606822108922,2.994046,31,0.7225403795165715,1,1.0,0.7115244,1
11196762_11196842,2025-06-02 05:19:51.094060898,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T05:19:51Z,1,16.827366256713866,5.147838592529297,6.376003265380859,0.7086682902198336,5.784663677215576,0.8073770403862,44.314701080322266,347.8462034992006,3.224853515625,0.0769313203252485,0.006931558739009,0.5613258287015179,0.72,0.27455142,0.9708343995999996,0.4885115757999999,0.6911999999999999,0.7910386201999999,6.1471734,6.7232623,-0.5760889,-0.25881425,4.743930406276234,2.225878,23,0.9982716932344996,3,1.0,0.9917521,1
11196842_11197431,2025-06-02 05:20:40.447837114,4,6,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T05:20:40Z,1,19.046157836914062,5.296852111816406,7.764575481414795,-3.1856271184202223,6.390664577484131,0.6821817755699158,178.7825164794922,-1431.361806608713,3.163330078125,0.5837934012145095,0.0589876452296156,0.6859624434967122,0.72,0.2720149162,1.2580819622000003,0.4278760901999999,0.6336000000000002,0.7871113346000002,6.7776465,0.53309804,6.2445483,2.155846,12.937088433824762,2.896565,30,0.9914664730935197,4,1.0,0.9799728,1
