pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,speed_diff,ttc,yaw_diff,yaw_rate,min_safe_dist,ttc_min_dist,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_severity,decel_model,prediction,anomaly_score
15299892_15301206,2025-06-06 05:17:43.041222095,8,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T05:17:43Z,1,10.983299673547265,7.767322540283203,4.6908159255981445,1.339485855625482,2.9176926612854004,1.6558574438095093,87.51034545898438,-60.53893868302416,6.417724609375,0.3782476473314409,0.0224608157365947,0.4005608651039593,1.68,0.2641865815999999,0.8147726862,0.4057650147999999,1.1136000000000008,0.4332763383999999,4.3096414,6.0567064,-1.7470651,-1.7620442,2.668823171933706,0.991499,10,0.9993309395683276,moderate,True,-1,-0.014804179616572766
15363570_15363649,2025-06-06 06:25:20.144951105,7,7,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T06:25:20Z,1,16.182010173797607,9.283051490783691,9.328106880187988,-15.061968785514624,-1.191683650016785,0.9951699376106262,0.6714348793029785,4.187836889987332,5.64794921875,2.417566376287186,0.1969961899762167,2.4376554437614844,0.96,0.00609066608,2.049847365999999,0.3042499086,1.0176000000000007,0.7432385202000001,1.8917288,0.28461322,1.6071155,0.5365087,21.355952687571502,2.995507,30,0.9997870138689556,critical,True,-1,-0.018755495669555033
15390630_15390686,2025-06-06 06:52:08.084528923,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T06:52:08Z,1,10.274050774385875,3.7588436603546143,6.993208408355713,-35.40223129266995,-0.9699115753173828,0.537499189376831,2.685739517211914,-11.380745961635442,3.011962890625,0.0099496300001298,0.0011262347760228,0.4022019470987181,0.48,0.4473109936,0.6065431945,0.4324833895999999,0.6335999999999998,0.9102345662000004,6.495171,5.792923,0.7022481,0.23616639,29.0705540152355,2.973531,29,0.997417573854454,critical,True,-1,-0.03788408581824909
15418359_15419212,2025-06-06 07:19:29.359906912,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T07:19:29Z,1,15.74455451965332,5.366499423980713,6.403223514556885,0.4638347613183773,5.177799224853516,0.8380934000015259,20.926387786865234,82.46849824549281,2.97412109375,1.786250605830753,0.1609037753145777,1.7944545780093624,0.72,0.0016171929999999,2.0257483639999987,0.2750132888000001,0.9456000000000004,0.6657012842000002,6.4525876,7.119441,-0.6668534,-0.419985,2.4712920183888505,1.587803,17,0.978156538011976,moderate,True,-1,-0.0321683077460434
15418457_15419212,2025-06-06 07:19:35.649422884,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T07:19:35Z,1,8.760893166065216,4.321661472320557,4.018721580505371,1.1178431911398234,2.576545238494873,1.075382113456726,177.5525665283203,-26.37134788186559,3.07861328125,1.8283870656451129,0.1419821389005678,1.860091904861491,0.96,0.0011556190599999,1.948512893999999,0.2859231297999999,1.1616000000000009,0.3571768228,3.862797,4.4421163,-0.57931924,-0.44454652,0.7851483051280808,1.303169,14,0.910775605679418,low,True,-1,-0.008140358903633738
15477296_15479113,2025-06-06 08:23:06.564311028,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T08:23:06Z,1,7.313358783721924,2.495357036590576,4.227391242980957,-4.524389133358981,2.5334901809692383,0.5902829766273499,177.99917602539062,-49.00320050017295,3.80810546875,1.653055427177885,0.1834028349680062,1.7313903606268526,0.24,0.00116816378,2.142768638799999,0.3088803157999998,0.8015999999999996,0.4625535208,3.6028697,4.06972,-0.46685004,-0.5525755,2.222429596811744,0.844862,10,0.6948300490251103,moderate,True,-1,-0.05813998498445616
15803196_15805017,2025-06-06 13:47:00.951708078,8,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T13:47:00Z,1,21.821711540222168,3.0396549701690674,8.775843620300293,0.6205567728286335,8.198266983032227,0.346366137266159,56.62434005737305,18.994777880896784,5.311767578125,0.1052033245183473,0.0157312447261667,0.936297788126153,0.24,0.04923180684,1.1057277054,0.3993368204,0.6239999999999999,1.0337330388,8.828835,6.1039057,2.7249289,1.992851,5.882175451466535,1.367352,15,0.9995562243970542,serious,True,-1,-0.06718604526160454
15831838_15832035,2025-06-06 14:17:41.565191031,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T14:17:41Z,1,14.22088689804077,5.010605812072754,9.263748168945312,-37.30103416099628,-1.377100706100464,0.5408831834793091,12.036869049072266,-3.397065223265024,3.49755859375,2.780499236396647,0.326170363097676,3.019264455235244,0.48,0.0057324093,2.0982389959999987,0.3100529479999999,0.8255999999999999,0.8915422760000002,3.6843731,6.9468627,-3.2624896,-1.1219552,3.443621466654101,2.907861,41,0.9878404501951324,moderate,True,-1,-0.03253481621024912
15835481_15835550,2025-06-06 14:21:53.001743078,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T14:21:53Z,1,13.273209381103516,4.810089588165283,6.261303901672363,-4.7958922289737576,1.0300259590148926,0.7682248950004578,9.4000883102417,-6.347834305971934,2.947509765625,0.1050412729815727,0.0097701437711904,0.3176019555942084,0.72,0.4002253719999998,0.3012167014000001,0.4204700179999999,0.6144000000000001,0.7852842368000001,3.171832,4.393601,-1.2217689,-0.4206964,11.672670427801316,2.904158,30,0.9495526451656302,critical,True,-1,-0.011666677762718014
15850762_15851063,2025-06-06 14:38:14.962718010,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T14:38:14Z,1,20.72464160919189,7.796749591827393,7.76919412612915,0.3220659879537082,-0.9910180568695068,1.0035467147827148,1.342869758605957,31.365189916390044,3.639892578125,2.4031271259269302,0.1948355976949448,2.440065396792676,0.96,0.00250892934,2.036576525999999,0.3135457638000001,1.0032000000000003,0.5593881786000001,2.0339072,4.281976,-2.248069,-0.75373375,10.66383386219331,2.982577,25,0.999994940241384,critical,True,-1,-0.0005956953470886983
15936189_15936748,2025-06-06 16:08:01.353267908,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T16:08:01Z,1,21.23818016052246,9.341545104980469,8.559898376464844,-0.4080137864768525,0.1882286071777343,1.0913149118423462,128.8035888671875,19.55956045094225,3.205810546875,4.42704065447562,0.3428945500051171,4.563120216834228,0.96,0.0043872170199999,2.036576525999999,0.3142283996000001,1.108800000000001,0.6591219246000002,5.190304,6.531067,-1.3407631,-0.786014,0.196971665616655,1.705775,18,0.9956680267298236,low,True,-1,-0.029962758142807355
15995668_15998736,2025-06-06 17:13:38.205497980,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T17:13:38Z,1,4.2402429716898205,1.8377152681350708,2.7452142238616943,-1.1986801842222408,0.9739068746566772,0.6694250702857971,110.22722625732422,7.149701610792499,2.889892578125,0.0098214177929995,0.0009753119835018,0.1392402524430009,0.72,0.2025985454,0.2281949596200001,0.42954713,0.6479999999999998,0.3411400503999999,1.9578865,0.049765237,1.9081212,1.038009,6.334934877866523,1.838251,19,-0.218087677527504,serious,True,-1,-0.02399554054054054
