pair_id,timestamp,label1,label2,same_zone,mdrac,distance,closing_speed,closing_accel,speed_diff,ttc,yaw_diff,yaw_rate,min_safe_dist,ttc_min_dist,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_severity,decel_model,link,prediction,probability,log_probability,mahalanobis_distance
15329618_15329869,2025-06-06 05:53:03.649228096,6,6,1,0.7933084080133389,1.8918513059616089,0.6412098407745361,4.574327452008511,2.3679699897766118,2.9504401683807373,40.95752716064453,33.62589089661247,4.000732421875,1.363069684926104,0.0578828193454774,1.3632102649647555,1.44,0.0012567522,1.488554887,0.3751391162000002,1.166400000000001,0.11931006,2.9923746585845947,0.3214855194091797,2.670889139175415,8.59323501586914,19.538955688087285,0.310813,4.0,-0.957545143550308,critical,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T05:53:03Z,-1,0.0,-690.7755278982137,39.25317924341106
15550068_15550781,2025-06-06 09:39:57.213407993,4,4,1,0.4164812729473159,7.057796955108643,1.9909552335739136,-0.3549582194619554,2.206061840057373,3.544929981231689,1.1190581321716309,-0.9815385396310116,3.2626953125,0.930141224821529,0.0353106002435738,0.959189212466706,3.6,0.0144998035799999,1.1465074478,0.3800201473999999,1.156800000000001,0.1775082875999999,,,,,,,,,none,False,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T09:39:57Z,-1,0.0,-690.7755278982137,48.47274410414263
15577222_15577539,2025-06-06 10:06:07.504028082,4,4,1,0.038431191729524,3.628365993499756,0.4983586370944977,0.1773559059505664,-0.2870427966117859,7.280632495880127,160.24913024902344,37.53663455993119,2.4150390625,2.01582367840055,0.050104121475629,2.0158275849963583,5.04,0.00120247402,1.7817753739999995,0.3560997978000001,1.171200000000001,0.10882259676,,,,,,,,,none,False,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T10:06:07Z,-1,0.0,-690.7755278982137,48.6775884330333
15782543_15782617,2025-06-06 13:29:12.223031044,4,4,1,0.1124077998452199,7.140129089355469,1.0835329294204712,1.1507963964960888,-0.0056699514389038,6.589674472808838,1.7904930114746094,1589.776845461166,2.98828125,5.017426861754763,0.1331938057091907,5.0175633170081975,3.36,0.00140866756,1.9051625019999991,0.3202564388,1.1424000000000007,0.1455655599,0.7052093744277954,0.0221587847918272,0.6830505728721619,0.2280695736408233,1.299779850851144,2.994922,31.0,0.7413914630662286,low,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T13:29:12Z,-1,7.981186198035071e-278,-638.0415688055595,35.68553775079526
15795381_15795410,2025-06-06 13:39:41.565965891,4,4,1,12.67450695037842,5.114699840545654,4.859900951385498,-1.2766882385860328,3.598027229309082,1.0524288415908811,1.0071523189544678,-4.508430965285124,3.187744140625,0.65964098264191,0.0515179342561481,0.7549526578700151,0.96,0.1141684058,1.0100819924000002,0.4173475333999997,1.0608000000000009,0.3586162598,,,,,,,,,none,False,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T13:39:41Z,-1,0.0,-690.7755278982137,48.29635585411475
15856313_15856420,2025-06-06 14:43:11.816274881,4,4,1,0.3349003893870602,6.072237491607666,1.5119659900665283,4.325403918027085,-18.12193489074707,4.016120433807373,27.80859375,1162.9800828971577,3.06982421875,0.8547483569135425,0.0301047388231273,0.8673713241259571,3.84,0.0395308868,0.9912547278,0.3704296917999998,1.156800000000001,0.1455194523999999,1.4708540439605713,1.242415189743042,0.2284388542175293,0.0762056484818458,0.7981389459709036,2.997663,31.0,0.9619798048865568,low,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T14:43:11Z,-1,2.515447863646008e-277,-636.8936198946564,35.70761402117558
16008210_16008371,2025-06-06 17:23:50.378315926,4,4,1,29.12049150466919,8.721213340759277,11.595621109008787,0.6409136077183948,4.374769687652588,0.752112627029419,161.5919952392578,-29.190199874933565,3.14990234375,0.3046785950920848,0.0289139065123517,0.4731094627903134,0.72,0.5171472882000002,0.8509992563999996,0.4468890836,0.6864,1.1258733347999992,6.555079460144043,8.49081802368164,-1.9357385635375977,-7.131420612335205,0.0,0.271438,4.0,0.999824986554862,none,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T17:23:50Z,-1,6.931583814286765e-274,-628.9722271486489,37.6222254062216
16012485_16015699,2025-06-06 17:28:43.710397959,4,4,1,22.133372116088868,2.6882266998291016,8.7935152053833,-0.4022623814173,7.711487770080566,0.305705577135086,141.44793701171875,-20.72239988567151,3.22216796875,0.6845185829771337,0.1117209620120722,0.8016541414875166,0.24,0.1639963993999999,1.0776336622000002,0.5353792576,0.5136,0.9968289552,,,,,,,,,none,False,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T17:28:43Z,-1,0.0,-690.7755278982137,51.52373493363944
16100889_16100900,2025-06-06 19:32:26.821304083,4,4,1,2.8334240992441675,9.846985816955566,1.1579526662826538,55.87615811446205,3.665093421936035,8.503789901733398,2.685739517211914,-28.13859462807604,3.162353515625,5.178306032641508,0.1181083208663308,5.179688772624278,6.24,0.00296246856,1.8616069539999995,0.3170766704000001,1.1376000000000008,0.1462054266,11.434812545776367,10.016509056091309,1.4183034896850586,0.4738409221172333,17.144443036978146,2.993206,31.0,0.9995594955516002,critical,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T19:32:26Z,-1,1.0104384e-317,-690.7755278982137,38.36427529440495
16116829_16117916,2025-06-06 19:58:58.500149965,6,4,1,0.3067779205129685,1.7932708263397217,0.8647429347038269,1.6444013620008908,1.0898021459579468,2.0737617015838623,90.4198989868164,4.303993502339637,3.81787109375,0.8279741542383768,0.0432311864186573,0.8293129612300911,1.68,0.0358309174799999,1.0212704978,0.4586373767999998,1.166400000000001,0.1323266639,1.7344437837600708,0.1930054426193237,1.541438341140747,15.441250801086426,15.441236029687818,0.099826,2.0,0.9878370949317136,critical,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-06T19:58:58Z,-1,0.0,-690.7755278982137,68.21568342639556
