timestamp,id1,id2,zone,interaction,leader,dist,TTC,MDRAC,closing_speed,speed_diff,yaw_diff,link,lane
2025-09-09 13:30:34.408506155,188172,188264,2001,car_v_car,188172,5.257216,1.1403449,7.5769813778024755,4.6101985,3.1026807,22.604975,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-09T13:30:34Z,2001
2025-09-10 13:03:47.045278072,446757,446830,2001,car_v_car,446757,4.883456,1.0160807,10.21986593187395,4.8061695,3.1529813,22.953669,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-10T13:03:47Z,2001
2025-09-10 13:24:24.507950306,456022,456160,2001,car_v_car,456022,2.3557634,0.7766752,7.411986827850342,3.0331383,2.8546352,33.571743,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-10T13:24:24Z,2001
2025-09-10 13:55:04.805616617,466957,466968,2001,car_v_car,466957,1.7322314,0.54330134,7.944517453511556,3.1883438,0.9729457,44.733337,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-10T13:55:04Z,2001
2025-09-11 13:36:46.781863928,843367,843373,2001,car_v_car,843373,2.1799536,0.7217881,7.316283067067464,3.0202127,2.288165,15.443003,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-11T13:36:46Z,2001
2025-09-11 16:00:31.031692505,910082,910096,2001,car_v_car,910082,3.211042,0.6924379,11.684763669967651,4.6372995,5.006224,11.190581,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-11T16:00:31Z,2001
2025-08-25 07:09:34.874116421,1826195,1826197,2001,car_v_car,1826195,2.6803138,0.90681404,6.749829974136726,2.955748,1.1805439,18.352554,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-25T07:09:34Z,2001
2025-08-25 13:35:00.224017382,1938671,1938892,2001,car_v_car,1938671,3.6193466,0.9801242,9.310856949585371,3.6927428,2.8437393,26.633583,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-25T13:35:00Z,2001
2025-08-26 13:02:25.622317791,2233934,2233964,2001,car_v_car,2233964,2.928385,0.9299617,7.354933705799303,3.1489308,1.0594101,31.616096,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-26T13:02:25Z,2001
2025-08-26 13:18:27.021309376,2248139,2248309,2001,car_v_car,2248139,4.5633626,1.3967557,5.692650291516681,3.2671158,2.963768,6.560478,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-26T13:18:27Z,2001
2025-08-26 13:21:27.152013302,2250186,2250375,2001,car_v_car,2250186,2.6716921,0.6685416,9.505828061457246,3.9962988,1.2435765,107.21875,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-26T13:21:27Z,2001
2025-08-26 13:32:18.207425594,2259127,2259153,2001,car_v_car,2259153,3.0197537,0.9782565,7.623050398703666,3.086873,2.8201084,29.547369,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-26T13:32:18Z,2001
2025-08-27 12:34:54.133500099,2598045,2598151,2001,car_v_car,2598151,7.884496,1.3034748,11.029391823353846,6.048829,1.3817749,15.441992,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-27T12:34:54Z,2001
2025-08-27 12:47:31.265516281,2605675,2605734,2001,car_v_car,2605734,3.3155413,0.8445504,9.97000527381897,3.9258063,1.3196316,25.707602,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-27T12:47:31Z,2001
2025-08-29 11:35:21.508591174,3078794,3078808,2001,car_v_car,3078808,2.2844884,0.5642385,9.724852244059244,4.0487995,1.6295018,33.29097,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-29T11:35:21Z,2001
2025-08-30 09:19:08.014069557,3386497,3386525,2001,car_v_car,3386525,1.9252107,0.35759088,13.202166875203451,5.3838363,1.6315808,29.095512,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-30T09:19:08Z,2001
2025-09-02 12:26:47.818136215,4181639,4181669,2001,car_v_van,4181669,3.0863454,0.4787001,14.003605206807455,6.4473467,6.167685,5.9659786,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-02T12:26:47Z,2001
2025-09-02 13:08:19.820167542,4199531,4199619,2001,car_v_car,4199531,2.5743344,0.7807011,8.050580501556396,3.2974648,1.6040521,23.724033,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-02T13:08:19Z,2001
2025-09-02 13:12:23.943062067,4200945,4201143,2001,car_v_car,4200945,2.2395728,0.5108793,4.617338603897284,4.3837614,4.0923386,4.4762325,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-02T13:12:23Z,2001
2025-09-02 14:25:44.370836496,4223706,4223719,2001,car_v_car,4223719,2.0180612,0.7874144,6.227630774180095,2.562896,1.1896377,14.547756,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-02T14:25:44Z,2001
2025-09-03 13:21:32.054136515,4516868,4517053,2001,car_v_car,4516868,2.8721564,0.98680645,7.806847890218099,2.910557,1.7656784,24.65425,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-03T13:21:32Z,2001
2025-09-03 13:29:46.917380810,4521434,4521573,2001,car_v_car,4521434,3.596119,0.84977883,10.660128593444826,4.231829,5.3956847,8.057219,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-03T13:29:46Z,2001
2025-09-04 09:17:45.841974735,4826539,4826540,2001,car_v_car,4826539,3.7105346,0.8016953,11.151067415873209,4.6283603,2.825438,37.319576,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-04T09:17:45Z,2001
2025-09-05 10:09:50.567150593,5245618,5245619,2001,car_v_car,5245618,2.2088246,0.9040898,6.136651992797852,2.4431474,1.4042568,21.038292,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-05T10:09:50Z,2001
2025-09-05 12:40:52.002326727,5328749,5328936,2001,car_v_car,5328749,2.3668137,0.4973569,9.511309660774149,4.7587833,5.2197995,12.757263,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-05T12:40:52Z,2001
2025-09-05 13:03:33.398297310,5337784,5337797,2001,car_v_car,5337797,1.6214656,0.44389975,9.655191739400228,3.6527743,4.7746506,83.816444,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-05T13:03:33Z,2001
2025-09-05 14:29:34.805102110,5371925,5372016,2001,truck_v_car,5371925,5.035205,0.954321,10.891334039974788,5.276217,4.9562345,10.295335,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-05T14:29:34Z,2001
2025-09-08 13:03:36.948750496,6197536,6197685,2001,truck_v_car,6197536,4.137761,0.9411449,11.052352905273438,4.3965187,5.011143,17.120579,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-08T13:03:36Z,2001
2025-09-08 14:56:36.223863602,15904,15915,2002,car_v_car,15915,1.848614,0.6884034,6.657399336496989,2.6853642,1.7186909,18.464458,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-08T14:56:36Z,2002
2025-09-09 05:50:08.604931116,86922,86949,2002,car_v_car,86949,1.6562546,0.49766964,7.743624305725097,3.3280203,2.6616144,18.576365,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-09-09T05:50:08Z,2002
