timestamp,id1,id2,zone,interaction,leader,dist,TTC,MDRAC,closing_speed,speed_diff,yaw_diff,composite_score,duration,num_frames,link
2025-06-05 06:14:09.993869066,14189291,14189292,1017,pedestrian_v_car,14189291,5.231838226318359,0.659082293510437,6.02205946588969,7.938065528869629,7.141502380371094,81.38350713064281,93.45451650863713,0.317955,3,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T06:14:09Z
2025-06-05 10:02:28.501660109,14417800,14418763,1017,pedestrian_v_car,14417800,5.0204901695251465,0.7307670712471008,4.060777682564587,6.87016487121582,10.260452270507812,100.07177896401146,42.42185495642165,0.102747,2,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T10:02:28Z
2025-06-05 10:29:25.759131908,14444396,14444920,1017,pedestrian_v_car,14444396,4.111490726470947,0.5879412293434143,5.858562058879352,6.993030071258545,8.203179359436035,88.88119702786257,81.53406174731748,0.19781,3,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T10:29:25Z
2025-06-05 11:01:12.777563095,14475319,14475346,1017,bicycle_v_pedestrian,14475346,4.244380950927734,0.6925400495529175,9.696891571599974,6.128715515136719,2.341105461120605,168.33330788860985,118.94308997627986,0.363693,5,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T11:01:12Z
2025-06-05 12:49:01.745528936,14578527,14579468,1018,pedestrian_v_car,14578527,3.618157625198364,0.627747118473053,4.112216849963472,5.763718605041504,8.441385269165039,87.95797401813029,42.19275882858001,0.103969,2,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T12:49:01Z
2025-06-05 15:25:15.905406952,14795310,14795742,1017,pedestrian_v_bicycle,14795310,2.5192434787750244,0.5777294635772705,3.663900309107543,4.360593795776367,3.39167594909668,176.11178322014317,37.774572276086495,0.303465,3,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T15:25:15Z
2025-06-05 16:50:42.952843904,14884216,14884368,1018,car_v_pedestrian,14884368,4.741048336029053,0.683942973613739,4.969806106273804,6.9319353103637695,6.097196102142334,109.72365588393988,55.86085003009032,0.110896,2,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T16:50:42Z
2025-06-05 16:50:42.952843904,14884216,14884583,1018,car_v_pedestrian,14884583,4.417013645172119,0.696014940738678,4.379269165618247,6.346147537231445,6.2004218101501465,178.43280808598425,44.89660165786521,0.110896,2,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T16:50:42Z
2025-06-05 19:21:09.667053938,15003482,15003924,1017,car_v_pedestrian,15003924,5.298701286315918,0.7211582064628601,5.062346692979825,7.347487926483154,5.338662147521973,116.68979313919256,61.68271105698161,0.198623,3,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T19:21:09Z
2025-06-05 20:03:49.526878119,15030908,15031469,1015,pedestrian_v_car,15030908,6.662921905517578,0.641826331615448,8.087227605272222,10.38119125366211,9.11180591583252,130.70497612830923,173.7756941262123,0.400567,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-05T20:03:49Z
