pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,speed_diff,ttc,yaw_diff,yaw_rate,min_safe_dist,ttc_min_dist,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_severity,decel_model,prediction,probability,log_probability,mahalanobis_distance
13157182_13157222,2025-06-04 04:55:46.135615110,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-04T04:55:46Z,1,0.0524659703189841,8.74504566192627,0.9151404500007628,0.1547191409763295,1.2213501930236816,9.555959701538086,8.952465057373047,-17.220215915737207,3.79443359375,0.0464439744849988,0.0009560859274914,0.0616544364279648,9.6,0.1191026554399999,0.4578643150400001,0.4386216705999998,1.1376000000000008,0.1256011938,,,,,,,,,none,False,-1,0.0,-690.7755278982137,42.21330975581022
13164615_13164616,2025-06-04 05:07:55.463454962,4,6,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-04T05:07:55Z,1,0.0751514513121352,3.930363178253174,0.7199114561080933,0.205613215959903,0.6151111125946045,5.459509372711182,127.68352508544922,-4.821888656452474,3.618408203125,1.6265535426600182,0.0479232450936064,1.626796068584193,4.56,0.0013572431,1.7832416319999995,0.3832123082,1.1616000000000009,0.12194699728,,,,,,,,,none,False,-1,0.0,-690.7755278982137,42.208150320518634
13559169_13559482,2025-06-04 12:03:24.573930979,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-04T12:03:24Z,1,45.03049850463867,8.605857849121094,18.051485061645508,-0.8653572736873612,6.513047218322754,0.4767396152019501,171.20089721679688,-29.528562998023794,3.02294921875,0.1289645122764123,0.015963584762642,0.1425754494611972,0.48,0.6136436362000002,0.2355017350999999,0.4530309343999999,0.6191999999999998,1.5761815339999992,9.8682279586792,12.727410316467283,-2.859182357788086,-5.313122272491455,0.0,0.538136,6.0,0.999921809947365,none,True,-1,0.0,-690.7755278982137,43.84032533534737
13716291_13716671,2025-06-04 14:41:57.753981113,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-04T14:41:57Z,1,0.4042955048452838,5.540092468261719,1.9220982789993288,-2.448281299590715,0.5006355047225952,2.882314920425415,176.9091033935547,-1688.1955717333522,2.662109375,0.7718603139937132,0.0331045829911774,0.778849038428664,2.88,0.06001928536,0.9340211866,0.3658720271999998,1.166400000000001,0.1761516595999999,1.301200032234192,0.8226468563079834,0.4785531759262085,0.1644309163093567,1.6514833384523668,2.91036,30.0,0.998181169346942,low,True,-1,0.0,-690.7755278982137,42.09603287307568
