timestamp,id1,id2,zone,interaction,leader,dist,TTC,MDRAC,closing_speed,speed_diff,yaw_diff,link,label1,label2
2025-08-14 04:53:11.726152182,940865,940888,1095,car_v_car,940865,6.2889223,1.2625668,5.983187852543885,4.981061,1.4776505,155.60503,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T04:53:11Z,1,2
2025-08-14 05:04:53.324098825,944580,944628,1095,car_v_car,944580,4.481436,1.0069482,9.99658914000999,4.4505124,1.693826,160.30508,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T05:04:53Z,1,2
2025-08-14 05:29:33.776559591,952096,952168,1095,car_v_car,952096,7.4180574,1.2123842,9.339925149523776,6.11857,3.47541,144.80612,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T05:29:33Z,1,2
2025-08-14 05:31:08.181921482,952710,952762,1095,car_v_car,952762,4.1270485,0.89500296,10.060883838664763,4.6112123,1.4146181,162.15152,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T05:31:08Z,2,1
2025-08-14 05:31:08.284524918,952762,952824,1095,car_v_car,952762,7.7667418,1.4296252,4.098018973589665,5.432712,2.2646158,138.81917,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T05:31:08Z,1,2
2025-08-14 05:49:50.632424355,959565,959593,1095,car_v_car,959565,6.760358,1.1899147,13.16763356559691,5.6813803,3.1275563,151.74428,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T05:49:50Z,1,2
2025-08-14 13:51:45.850677252,1113695,1113725,1095,car_v_car,1113725,3.3886538,0.860758,8.555813894851878,3.936825,0.8074968,169.25754,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T13:51:45Z,2,1
2025-08-14 13:53:08.707016230,1114182,1114241,1095,car_v_car,1114182,4.597041,0.8372076,10.847167717144579,5.4909215,2.0217788,164.38863,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T13:53:08Z,1,2
2025-08-14 13:56:27.327648640,1115143,1115190,1095,car_v_car,1115190,3.5607402,0.9991197,9.066644032796225,3.5638776,0.6164242,145.02893,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T13:56:27Z,2,1
2025-08-14 14:35:29.099983692,1125876,1125879,1095,car_v_car,1125879,6.521922,1.4213008,9.054225126268538,4.5886993,1.8847948,149.89784,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T14:35:29Z,2,1
2025-08-14 15:05:23.375603199,1133801,1133827,1095,car_v_car,1133801,4.136993,1.0273689,9.36808490740322,4.0267844,1.4186791,172.61472,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T15:05:23Z,1,2
2025-08-14 15:50:14.514870405,1145950,1146045,1095,car_v_car,1145950,2.963803,0.58890617,10.326366374617336,5.0327253,1.9763671,155.32527,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-08-14T15:50:14Z,1,2
