pair_id,label,date,dist_min,dist_mean,dist_std,closing_speed_max,closing_speed_mean,closing_speed_std,decel_min,decel_mean,decel_num_frames_braking,yaw_diff_mean,yaw_diff_max
10499922_10500247,0,2025-06-01,2.6295533180236816,3.847853183746338,0.7296854257583618,0.05039157718420029,-1.0619032382965088,0.8025233745574951,-0.43572927058973404,0.9807063349248212,0,47.277339935302734,148.44305419921875
10901776_10901854,1,2025-06-01,,,,,,,-3.4562411246139346,-0.08944090569878269,5,,
10673887_10674135,0,2025-06-01,2.96833872795105,9.402383804321289,5.2574543952941895,4.3732476234436035,-5.4018073081970215,3.113039970397949,-71.03953356690249,-2.54371287880208,10,146.69732666015625,164.16583251953125
10941007_10941023,0,2025-06-01,3.6270534992218018,4.047136306762695,0.1961441934108734,0.5001256465911865,-0.15027952194213867,0.4793810546398163,-2.9512803050803713,0.2319178415672329,11,24.96245765686035,88.18177795410156
10955639_10955730,0,2025-06-01,2.735948324203491,6.168181419372559,2.4848859310150146,8.767084121704102,-0.9884369373321533,4.7327728271484375,-53.27883570473397,-1.7167013417103392,6,114.65682983398438,151.91213989257812
10673887_10674170,0,2025-06-01,2.938164710998535,9.850772857666016,5.470447063446045,4.866327285766602,-5.437282085418701,3.1575474739074707,-83.31241984363066,-2.565080092342922,6,148.21365356445312,166.45989990234375
10673886_10673887,0,2025-06-01,2.739504098892212,7.920922756195068,4.200201988220215,5.436738967895508,-4.322427272796631,3.3545546531677246,-71.45131388633656,-2.285797719746007,8,149.45407104492188,172.78257751464844
10782180_10782232,0,2025-06-01,2.7547011375427246,11.682319641113281,7.441534519195557,9.543292999267578,-6.373934268951416,7.0861735343933105,-22.408051731519596,-0.8978914730519015,11,164.1169891357422,179.7197265625
11007647_11007766,0,2025-06-01,2.391799211502075,7.420511722564697,4.048816204071045,7.761270046234131,-3.233011484146118,5.032362937927246,-62.366074144070865,-1.9573122758234225,3,150.13653564453125,172.22203063964844
10820092_10820361,0,2025-06-01,4.508707523345947,7.343438148498535,2.252031087875366,-1.7486851215362549,-2.984022617340088,0.6276825070381165,-3.333005230670508,-0.7066221678846552,16,5.1588826179504395,15.401037216186523
