pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,speed_diff,ttc,yaw_diff,yaw_rate,min_safe_dist,ttc_min_dist,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_severity,decel_model,near_miss_probability,prediction
10296306_10296324,2025-06-01 00:26:08.156613111,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T00:26:08Z,1,0.8179747920138885,6.923519134521484,2.487703561782837,0.1946872036451056,2.423372745513916,2.7830965518951416,1.9023988246917725,-2.4378874921285623,3.24267578125,1.2508662468508196,0.0549661134635404,1.257828959519636,2.64,0.0015262886,1.5607465839999992,0.3765006886000001,1.1520000000000008,0.2766568208,9.155741,8.122823,1.032918,1.0418056,2.8715798042587948,0.991469,11,0.995348529679051,2,1.0,0.951483200368764,1
10300754_10300768,2025-06-01 00:36:55.265007973,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T00:36:55Z,1,1.3656044336595627,5.444101810455322,2.397563934326172,2.034403721448471,-1.2937040328979492,2.2706806659698486,0.6714348793029785,2.939454964840961,3.47119140625,0.0834769266437132,0.0040634127079761,0.2769929559686488,2.16,0.18680896466,0.59483909278,0.426222932,1.1376000000000008,0.2660948711999999,7.3703423,5.593381,1.7769613,0.6364192,51.226039748276925,2.7921240000000003,27,0.9984229271274396,4,1.0,0.9458502124801943,1
10300754_10300768,2025-06-01 00:36:56.363578081,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T00:36:56Z,1,2.269594832946394,4.342170715332031,3.2721681594848637,-2.3382958111047216,0.8138523101806641,1.3270010948181152,1.7904930114746094,-0.9408167774892884,3.47119140625,0.0881769969204401,0.0059140370146453,0.381936785355656,1.44,0.2114243893599999,0.5951516772000001,0.4527734422,1.1232000000000009,0.3041739686,9.926697,5.593381,4.333316,2.5587113,51.226039748276925,1.693554,17,0.9998204830374802,4,1.0,0.9988445810250836,1
10300754_10300768,2025-06-01 00:37:02.048763037,6,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T00:37:02Z,1,0.0821674585603446,4.910452842712402,1.052417516708374,1.4254420587694667,0.4057393074035644,4.665879249572754,0.4476232528686523,-0.4873609299365284,3.47119140625,3.0190865019604614,0.0981053865224944,3.019230681191816,2.88,0.00132001968,1.8534141659999996,0.3689784304000001,1.1424000000000007,0.1455655599,7.047802,7.1735497,-0.12574768,-0.11445071,6.569598433251777,1.098706,12,0.9999578366741592,4,1.0,0.9695707500687165,1
10313335_10313651,2025-06-01 01:12:35.129637957,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T01:12:35Z,1,0.6202990379405057,9.99258041381836,2.861247301101685,-1.938564587726702,3.2183637619018555,3.492386102676392,4.70004415512085,2.231956221409108,3.2744140625,0.5890741286788073,0.0224906914949363,0.6817752877816741,3.6,0.1260554643800001,1.1698415442000003,0.4311813849999998,1.156800000000001,0.2772011394,9.596355,8.4711685,1.1251869,0.8615018,2.6916113864413123,1.306076,14,0.9829312517098432,2,1.0,0.9435032041698134,1
10414041_10414056,2025-06-01 06:01:42.705599070,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T06:01:42Z,1,0.1032177347409043,9.963568687438965,1.13544762134552,-0.7223111769563657,-2.4267406463623047,8.77501392364502,4.252420902252197,-6.582448892233346,3.14599609375,7.427805732592966,0.1666953150121948,7.428466704382877,3.84,0.00295237216,1.991698517999999,0.3205553718,1.1376000000000008,0.1462054266,6.0490217,9.175347,-3.1263256,-1.0773653,2.0035526581311136,2.901825,30,0.9999123260082712,2,1.0,0.9163301653107784,1
10435713_10435925,2025-06-01 06:53:04.377109051,4,7,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T06:53:04Z,1,0.1775552362887861,9.50343418121338,1.723960280418396,1.7634064562144252,0.6312742233276367,5.51255989074707,21.05228042602539,-32.22215825723624,4.1474609375,8.34847271275941,0.2473741033235605,8.351138214381798,1.2,0.0030417433799999,2.0658422639999987,0.3216914128000001,1.1472000000000009,0.1568932544,3.7191913,4.1275225,-0.40833116,-0.1363961,1.812581806504001,2.993716,45,0.955912099394528,1,1.0,0.6664267035505212,1
10441577_10441584,2025-06-01 07:03:36.076436043,4,6,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T07:03:36Z,1,0.1494975274016893,8.008601188659668,1.9177379608154297,0.4316956094943233,1.1986064910888672,4.1760663986206055,2.685739517211914,-1.0825596236351742,3.569580078125,4.686989051930939,0.1632132301896974,4.693653346624701,2.64,0.00140664828,1.991698517999999,0.3312329926,1.1472000000000009,0.1720467451999999,10.9474945,13.366453,-2.4189587,-1.0528834,8.141051545913044,2.297461,23,0.9828463174201004,4,1.0,0.877782339380148,1
10441828_10442285,2025-06-01 07:04:59.210848093,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T07:04:59Z,1,4.475512915630182,9.904118537902832,5.602994441986084,-9.086834909331886,-1.2734043598175049,1.767647385597229,74.10962677001953,29.716806401776616,3.18310546875,6.968946604078738,0.4062225605524135,6.989263782941595,0.96,0.00312168326,2.052232177999999,0.2872144538,1.1472000000000009,0.4554943464000002,2.5033672,3.139319,-0.63595176,-0.21204215,6.082454172253133,2.999176,47,0.8516599248832645,3,1.0,0.96552446373905,1
10451190_10451690,2025-06-01 07:18:27.121555090,4,4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T07:18:27Z,1,1.0815192430468177,9.711050987243652,3.998136758804321,-3.0593585655076168,5.350642204284668,2.42889404296875,0.111905813217163,1.1227237184536287,3.154052734375,1.7195142375526942,0.0821282634407797,1.7301983775802272,2.4,0.0030008692,1.7904485519999995,0.3209348586000001,1.1472000000000009,0.3700371088000001,12.463304,10.573732,1.8895712,1.1859035,3.0813221312542325,1.59336,17,0.9746656714714474,2,1.0,0.9595934939914521,1
