pair_id,timestamp,label1,label2,same_zone,mdrac,distance,closing_speed,closing_accel,speed_diff,ttc,yaw_diff,yaw_rate,min_safe_dist,ttc_min_dist,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_severity,decel_model,link,prediction,probability,log_probability,mahalanobis_distance
10627377_10627594,2025-06-01 11:41:03.764377117,6,7,1,0.3094930266017007,2.4689478874206543,0.7842589616775513,0.70774562435449,2.323763370513916,3.1481282711029053,29.99075698852539,1299.4162029967576,4.46142578125,2.022448400265158,0.0828556027850181,2.0250947906537147,0.96,0.00122738322,1.7880433579999997,0.3642333648000001,1.1616000000000009,0.13063366352,2.6641385555267334,0.8290062546730042,1.835132360458374,3.034244537353516,24.14084847691388,0.604807,7.0,-0.7171812387827978,critical,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T11:41:03Z,-1,3.8424150777044185e-200,-459.17091750341535,30.412459567141514
10878269_10878339,2025-06-01 17:01:44.939899921,4,4,1,1.1385558774811912,3.778569459915161,1.842286705970764,0.0349063231538076,0.4466472864151001,2.0510213375091557,135.85365295410156,-40.19490549316354,3.30908203125,1.0800748767945323,0.0568717177555475,1.082359292133655,1.92,0.00129783558,1.2042995507999998,0.4127199088,1.1616000000000009,0.1736763129999999,,,,,,,,,none,False,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T17:01:44Z,-1,1.158070366148289e-299,-688.2433637135707,37.099949460882016
10978478_10979176,2025-06-01 19:25:40.773097038,4,4,1,27.97281773885091,3.970595121383667,15.87155818939209,-23.625845532718586,7.375797748565674,0.2501704692840576,169.31248474121094,0.0,3.17138671875,1.4805682374124751,0.2737885466901639,1.5392669042563938,0.24,0.0071939788,2.0377946059999985,0.2955132801999999,0.5279999999999998,1.3796456819999992,11.86395263671875,12.179498672485352,-0.3155460357666015,-1.6420150995254517,0.0,0.19217,3.0,0.9095424987221165,none,True,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T19:25:40Z,-1,1.9695161665472662e-181,-416.0901139200746,29.859590519761586
