pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,ttc,yaw_diff,yaw_rate,prediction,anomaly_score,risk_level
10292345_10292450,2025-06-01 00:15:52.606326103,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T00:15:52Z,0,52.629208,5.5226803,21.051683,-137.8836573942232,0.26233912,179.0483,0.0,-1,-0.022540745972112197,normal
10306459_10306690,2025-06-01 00:54:33.265744925,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T00:54:33Z,0,63.300858,4.2556257,25.320343,-70.28298986439982,0.1680714,176.81018,-6.3206240851735975,-1,-0.019818887350490977,normal
10322728_10322971,2025-06-01 01:41:04.750098944,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T01:41:04Z,0,63.0616,6.1250796,25.22464,-112.33598523068756,0.24282129,175.69112,26.33455553866306,-1,-0.07627985519902669,normal
10379121_10379185,2025-06-01 04:39:56.543032885,4,6,https://brussels.flow-analytics.io/tools/replay/2025-06-01T04:39:56Z,0,46.068027,4.068385,18.427212,-110.8621750798464,0.22078137,177.92923,3.1011854138835817,-1,-0.003391725097740994,normal
10445905_10446259,2025-06-01 07:10:58.531909943,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T07:10:58Z,0,43.904427,3.876134,17.561771,-105.70917334776315,0.22071429,179.94455,1.1302314839915444,-1,-0.018872388305047116,normal
10507113_10507124,2025-06-01 08:42:10.620094061,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T08:42:10Z,0,1.8951942,2.650361,1.4148325,-5.400966830654893,1.8732685,1.9023988,-203.51360577768384,-1,-0.0008169566670738204,normal
10511249_10511464,2025-06-01 08:51:35.125724076,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T08:51:35Z,0,0.04288581,6.253905,0.67088944,-92.6129812082003,9.321812,178.9374,-10.546351611308898,-1,-0.017715276752356512,normal
10577605_10577774,2025-06-01 10:30:31.636869907,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T10:30:31Z,0,57.25188,5.7283263,22.900753,-97.26821255000311,0.25013703,177.70541,3.574872541251995,-1,-0.030867624058861454,normal
10632998_10633270,2025-06-01 11:47:19.549525023,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T11:47:19Z,0,39.66885,3.689618,15.86754,-128.92228009228873,0.23252615,179.83163,-1.9034248466782544,-1,-0.013813433854455548,normal
10635979_10637191,2025-06-01 11:52:10.363524914,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T11:52:10Z,0,12.522463,3.3998291,5.008985,-38.6439006612962,0.6787461,144.69421,-149.88228609093167,-1,-0.0009802650618477848,normal
